logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
intentional,0,"Ice core drilling shows that 800 years after natural warming , the atmosphere increases in carbon dioxide . The zenith of the Little Ice Age was 300 years ago and since then we have slightly warmed and cooled during a long-term warming trend . Instrumental temperature measurements over the past 150 years show no correlation between human emissions of CO2 and ­temperature . On all timescales it can be shown that there is no correlation between CO2 emissions and global warming ."," ""Ice core drilling shows that 800 years after natural warming, the atmosphere increases in carbon dioxide."""," ""There is no correlation between CO2 emissions and global warming on any timescale."""," Is800YearsAfter(a),  IsNaturalWarming(b),  IsInAtmosphere(c),  IsCarbonDioxide(d)"," IsNoCorrelation(e, f),  IsOnAnyTimescale(g)",[],[],"[(' 800 years', ' timescale'), (' natural warming', ' global warming'), (' timescale', ' natural warming'), (' CO2 emissions', ' atmosphere'), (' carbon dioxide.', ' CO2 emissions'), (' carbon dioxide.', ' global warming')]",Is800YearsAfter(a) and (IsNaturalWarming(b) and IsInAtmosphere(c) and IsCarbonDioxide(d)),"IsNoCorrelation(e, f) and IsOnAnyTimescale(g)","(exists d (forall c (forall b (exists b (exists a (Is800YearsAfter(a) and (IsNaturalWarming(b) and IsInAtmosphere(c) and IsCarbonDioxide(d)))))))) -> (forall e (exists e (forall f (forall g (IsNoCorrelation(e, f) and IsOnAnyTimescale(g))))))","(exists b (exists a (exists c (exists d (Is800YearsAfter(a) and (IsNaturalWarming(b) and IsInAtmosphere(c) and IsCarbonDioxide(d))))))) -> (exists g (exists e (exists f (IsNoCorrelation(e, f) and IsOnAnyTimescale(g)))))"
intentional,0,There is no proof the current rate of change in Antarctica will continue .,,,,,[],[],[],,,() -> (),() -> ()
fallacy of credibility,0,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain ."," ""Research shows that this process is overpowering the erosion from sea-level rise."""," ""Net land-area gain is occurring."""," IsOverpowering(a),  IsErodedBy(b)", IsOccurring(a),"[(' IsOverpowering(a)', ' IsOccurring(a)')]","[(' This process', ' occurring')]","[(' Net land-area gain', ' This process'), (' sea-level rise', ' occurring')]",IsOverpowering(a) and ~IsErodedBy(b),IsOccurring(c),(forall a (IsOverpowering(a) and ~IsErodedBy(b)) & (forall a ( IsOverpowering(a) ->  IsOccurring(a)))) -> (exists c (IsOccurring(c))),(exists b (exists a (IsOverpowering(a) and ~IsErodedBy(b))) & (forall e ( IsOverpowering(e) ->  IsOccurring(e)))) -> (exists c (IsOccurring(c)))
false dilemma,0,"When it thaws and is released , that carbon may evaporate as methane , which is 34 times as powerful a greenhouse-gas warming blanket as carbon dioxide when judged on the timescale of a century ; when judged on the timescale of two decades , it is 86 times as powerful ."," ""Carbon may evaporate as methane."""," ""Methane is 34 times as powerful a greenhouse-gas warming blanket as carbon dioxide when judged on the timescale of a century.""", IsEvaporated(a)," IsAsPowerful(a,c),  IsJudgedOn(a,d)","[(' IsEvaporated(a)', ' IsAsPowerful(a,c)')]","[(' methane', ' Methane')]","[(' Carbon', ' greenhouse-gas warming blanket'), (' methane', ' carbon dioxide'), (' methane', ' greenhouse-gas warming blanket')]",IsEvaporated(b),"IsAsPowerful(a,c) and IsJudgedOn(a,d)","(exists b (IsEvaporated(b)) & (forall a (forall c ( IsEvaporated(a) ->  IsAsPowerful(a,c))))) -> (forall d (IsAsPowerful(a,c) and IsJudgedOn(a,d)))","(exists b (IsEvaporated(b)) & (forall g (forall f ( IsEvaporated(f) ->  IsAsPowerful(f,g))))) -> (exists d (exists a (exists c (IsAsPowerful(a,c) and IsJudgedOn(a,d)))))"
appeal to emotion,0,We are the envy of the world .,,,,,[],[],[],,,() -> (),() -> ()
fallacy of credibility,0,"The new research suggests that the oceans hundreds of millions of years ago were much cooler than we thought . If true , that means that the global warming we are currently undergoing is unparallelled within the last 100 million years , and far worse than we had previously calculated ."," ""The oceans were much cooler hundreds of millions of years ago."""," ""Global warming we are currently undergoing is unparalleled within the last 100 million years and far worse than we had previously calculated."""," IsCooler(a),  IsInHundredsOfMillionsOfYearsAgo(b)"," IsWithinLast100MillionYears(e),  IsWorseThanPreviouslyCalculated(f)","[('  IsInHundredsOfMillionsOfYearsAgo(b)', ' IsWithinLast100MillionYears(e)')]",[],"[(' The oceans', ' previously calculated.'), (' last 100 million years', ' hundreds of millions of years ago'), (' hundreds of millions of years ago', ' previously calculated.')]",IsCooler(a) and IsInHundredsOfMillionsOfYearsAgo(b),IsWithinLast100MillionYears(e) and IsWorseThanPreviouslyCalculated(f),(forall b (exists a (IsCooler(a) and IsInHundredsOfMillionsOfYearsAgo(b))) & (forall b (forall e (  IsInHundredsOfMillionsOfYearsAgo(b) ->  IsWithinLast100MillionYears(e))))) -> (exists e (forall f (IsWithinLast100MillionYears(e) and IsWorseThanPreviouslyCalculated(f)))),(exists b (exists a (IsCooler(a) and IsInHundredsOfMillionsOfYearsAgo(b))) & (forall h (forall g (  IsInHundredsOfMillionsOfYearsAgo(g) ->  IsWithinLast100MillionYears(h))))) -> (exists e (exists f (IsWithinLast100MillionYears(e) and IsWorseThanPreviouslyCalculated(f))))
appeal to emotion,0,So it ’ s been a surprise to climate scientists that 2017 has been so remarkably warm — because the last El Niño ended a year ago .," ""2017 has been remarkably warm."""," ""Climate scientists were surprised by the warmth of 2017.""", IsRemarkablyWarm(b), IsSurprised(c),[],"[(' 2017', ' 2017')]",[],IsRemarkablyWarm(a),IsSurprised(a),(IsRemarkablyWarm(a)) -> (IsSurprised(a)),(exists a (IsRemarkablyWarm(a))) -> (exists a (IsSurprised(a)))
fallacy of extension,0,"Although the extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050 , the predicted 67-per-cent decline in polar bear numbers simply didn ’ t happen ."," ""The summer sea ice dropped abruptly to levels not expected until 2050."""," ""The predicted 67-per-cent decline in polar bear numbers didn't happen."""," IsDropToLowLevels(a),  IsExpectedIn2050(b)", IsPredictedDecline(d),[],[],[],IsDropToLowLevels(a) and IsExpectedIn2050(b),~IsPredictedDecline(d),(IsDropToLowLevels(a) and IsExpectedIn2050(b)) -> (~IsPredictedDecline(d)),(exists b (exists a (IsDropToLowLevels(a) and IsExpectedIn2050(b)))) -> (exists d (~IsPredictedDecline(d)))
ad populum,0,"Not only do polls suggest the public is unmoved at home and in abroad , serial exaggeration at this point is arguably backfiring , confirming the perils of climate exaggeration ."," ""Polls suggest the public is unmoved at home and abroad."""," ""Serial exaggeration is backfiring and confirming the perils of climate exaggeration."""," IsUnmoved(a),  IsAtHome(b),  IsAbroad(c)"," IsBackfiring(d),  IsConfirming(e)",[],[],"[(' Serial exaggeration', ' Public'), (' climate exaggeration', ' Public')]",IsUnmoved(a) and IsAtHome(b) and IsAbroad(c),IsBackfiring(d) and IsConfirming(e),(forall a (IsUnmoved(a) and IsAtHome(b) and IsAbroad(c))) -> (exists e (exists d (IsBackfiring(d) and IsConfirming(e)))),(exists b (exists a (exists c (IsUnmoved(a) and IsAtHome(b) and IsAbroad(c))))) -> (exists d (exists e (IsBackfiring(d) and IsConfirming(e))))
ad hominem,0,Green activists are at war with the greatest American foe since the Axis Powers—or so they say .,,,,,[],[],[],,,() -> (),() -> ()
false dilemma,0,"Global warming is not even the obvious top environmental threat . Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide ."," ""Global warming is not the obvious top environmental threat."""," ""Dirty water, dirty air, and insect-borne diseases are a far greater problem today for most people world-wide.""", IsObvious(b)," IsInsectBorne(e),  IsWorldWide(g)",[],[],"[(' Global warming', ' world-wide'), (' Dirty water', ' environmental threat'), (' dirty air', ' environmental threat'), (' environmental threat', ' world-wide')]",~IsObvious(a),(IsInsectBorne(e) and IsWorldWide(g)),(exists a (~IsObvious(a))) -> (forall g ((IsInsectBorne(e) and IsWorldWide(g)))),(exists a (~IsObvious(a))) -> (exists g (exists e ((IsInsectBorne(e) and IsWorldWide(g)))))
ad hominem,0,"And for the media it ’ s ideology , money , and headlines ."," ""It is ideology for the media."""," ""The media prioritizes money and headlines.""", IsIdeologyFor(a)," IsPrioritizes(a),  IsMoney(b),  IsHeadlines(a)",[],"[(' It', ' Media'), (' It', ' headlines'), (' media', ' Media')]","[(' headlines', ' media')]",IsIdeologyFor(a),IsPrioritizes(a) and IsMoney(b) and IsHeadlines(a),(exists a (IsIdeologyFor(a))) -> (forall a (IsPrioritizes(a) and IsMoney(b) and IsHeadlines(a))),(exists a (IsIdeologyFor(a))) -> (exists b (exists a (IsPrioritizes(a) and IsMoney(b) and IsHeadlines(a))))
faulty generalization,0,"The Earth has experienced five mass extinctions before the one we are living through now , each so complete a slate-wiping of the evolutionary record it functioned as a resetting of the planetary clock , and many climate scientists will tell you they are the best analog for the ecological future we are diving headlong into ."," ""The Earth has experienced five mass extinctions."""," ""Many climate scientists believe the current ecological future is similar to the past mass extinctions.""", IsExperienced(a)," IsBelieved(c),  IsSimilarTo(d,a)",[],"[(' mass extinctions', ' mass extinctions')]","[(' Earth', ' current ecological future'), (' Earth', ' mass extinctions')]",IsExperienced(b),"IsBelieved(c) and (IsSimilarTo(d,a) or IsInThePast(a))","(exists b (IsExperienced(b))) -> (forall a (forall d (IsBelieved(c) and (IsSimilarTo(d,a) or IsInThePast(a)))))","(exists b (IsExperienced(b))) -> (exists d (exists a (exists c (IsBelieved(c) and (IsSimilarTo(d,a) or IsInThePast(a))))))"
intentional,0,"The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today ."," ""The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922."""," ""Fossil fuel emissions in 1913 and 1922 were negligible compared to today."""," IsInLibya(c),  WasRecordedIn1922(a)"," IsNegligible(d,e),  WasIn1913(e),  WasIn1922(a)","[('  WasIn1922(a)', ' IsInLibya(c)'), ('  WasRecordedIn1922(a)', '  WasIn1922(a)')]","[(' 1922', ' 1922')]",[],IsInLibya(c) and WasRecordedIn1922(a),"IsNegligible(d,e) and (WasIn1913(e) and WasIn1922(a))","(IsInLibya(c) and WasRecordedIn1922(a) & (forall a (forall c (  WasIn1922(a) ->  IsInLibya(c)))) & (forall a (  WasRecordedIn1922(a) ->   WasIn1922(a)))) -> (IsNegligible(d,e) and (WasIn1913(e) and WasIn1922(a)))","(exists a (exists c (IsInLibya(c) and WasRecordedIn1922(a))) & (forall h (forall g (  WasIn1922(g) ->  IsInLibya(h)))) & (forall i (  WasRecordedIn1922(i) ->   WasIn1922(i)))) -> (exists d (exists e (exists a (IsNegligible(d,e) and (WasIn1913(e) and WasIn1922(a))))))"
intentional,0,"In the very year they had forecast that the Arctic would be “ ice free ” , its thickness increased by a third . Polar bear numbers are rising , not falling . Temperatures in Greenland have shown no increase for decades ."," ""The Arctic was predicted to be ice-free, but its thickness increased by a third."""," ""Polar bear numbers are rising, and temperatures in Greenland have shown no increase for decades."""," IsPredictedToBeIceFree(a),  IncreasedByAThird(b)"," IsRising(c),  HasNoIncrease(d)",[],[],"[(' Polar bear', ' The Arctic')]",IsPredictedToBeIceFree(a) and ~IncreasedByAThird(b),IsRising(c) and ~HasNoIncrease(d),(forall a (IsPredictedToBeIceFree(a) and ~IncreasedByAThird(b))) -> (exists c (IsRising(c) and ~HasNoIncrease(d))),(exists b (exists a (IsPredictedToBeIceFree(a) and ~IncreasedByAThird(b)))) -> (exists d (exists c (IsRising(c) and ~HasNoIncrease(d))))
fallacy of extension,0,"Why , between 2009 and 2014 , did Defra spend a whopping £12.5 million on an ocean acidification research programme when the issue could have been resolved , for next to nothing , after a few hours ’ basic research ?", Defra spent £12.5 million on an ocean acidification research program between 2009 and 2014., The issue of ocean acidification could have been resolved for next to nothing after a few hours of basic research.," IsDefra(a),  IsBetween(c,d)"," IsIssueOfOceanAcidification(e),  IsNextToNothing(f),  IsBasicResearch(g)",[],[],"[(' ocean acidification research program', ' The issue of ocean acidification')]","IsDefra(a) and IsBetween(c,d)",IsIssueOfOceanAcidification(e) and (IsNextToNothing(f) and IsBasicResearch(g)),"(IsDefra(a) and IsBetween(c,d)) -> (IsIssueOfOceanAcidification(e) and (IsNextToNothing(f) and IsBasicResearch(g)))","(exists d (exists a (exists c (IsDefra(a) and IsBetween(c,d))))) -> (exists g (exists e (exists f (IsIssueOfOceanAcidification(e) and (IsNextToNothing(f) and IsBasicResearch(g))))))"
faulty generalization,0,"For decades , most scientists saw climate change as a distant prospect ."," ""Most scientists saw climate change as a distant prospect."""," ""Climate change is an urgent threat.""", IsDistant(a), IsUrgent(c),[],"[(' climate change', ' Climate change')]","[(' climate change', ' urgent threat')]",IsDistant(b),IsUrgent(a),(IsDistant(b)) -> (IsUrgent(a)),(exists b (IsDistant(b))) -> (exists a (IsUrgent(a)))
appeal to emotion,0,"If your anxiety about global warming is dominated by fears of sea-level rise , you are barely scratching the surface of what terrors are possible , even within the lifetime of a teenager today ."," ""Fears of sea-level rise are barely scratching the surface of what terrors are possible."""," ""A teenager today will experience many terrors due to global warming."""," IsFearfulOf(a),  AreTerrorsPossible(b)"," IsExperiencing(c),  IsCausedBy(d)",[],[],"[(' sea-level rise', ' global warming'), (' global warming', ' terrors')]",IsFearfulOf(a) and AreTerrorsPossible(b),IsExperiencing(c) and IsCausedBy(d),(forall b (exists a (IsFearfulOf(a) and AreTerrorsPossible(b)))) -> (forall d (IsExperiencing(c) and IsCausedBy(d))),(exists b (exists a (IsFearfulOf(a) and AreTerrorsPossible(b)))) -> (exists d (exists c (IsExperiencing(c) and IsCausedBy(d))))
intentional,0,"Skeptics have long pointed to ice gain in the Southern Hemisphere as evidence climate change wasn ’ t occurring , but scientists warned that it was caused by natural variations and circulations in the atmosphere ."," ""Scientists warned that ice gain in the Southern Hemisphere was caused by natural variations and circulations in the atmosphere."""," ""Skeptics were wrong in pointing to ice gain in the Southern Hemisphere as evidence that climate change wasn't occurring.""", IsInAtmosphere(d)," IsWrong(e),  IsInSouthernHemisphere(a),  IsClimateChange(f)",[],"[(' ice gain', ' ice gain'), (' Southern Hemisphere', ' Southern Hemisphere')]","[(' climate change.', ' Scientists'), (' ice gain', ' climate change.'), (' Southern Hemisphere', ' climate change.'), (' atmosphere.', ' Skeptics')]",IsInAtmosphere(d) and (IsNaturalVariation(a) and IsCirculation(b)),IsWrong(e) and (IsInSouthernHemisphere(a) and IsClimateChange(f)),(exists d (exists b (exists a (IsInAtmosphere(d) and (IsNaturalVariation(a) and IsCirculation(b)))))) -> (forall e (forall f (IsWrong(e) and (IsInSouthernHemisphere(a) and IsClimateChange(f))))),(exists d (exists a (exists b (IsInAtmosphere(d) and (IsNaturalVariation(a) and IsCirculation(b)))))) -> (exists e (exists a (exists f (IsWrong(e) and (IsInSouthernHemisphere(a) and IsClimateChange(f))))))
intentional,0,"Furthermore , the overall increases in such things as hurricanes and tornadoes have not materialized . Drought in the western U.S. pales in comparison to the mega-droughts tree rings tell us existed in centuries past . Lake-bottom sediments in Florida tell us that recent major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past . Strong Sandy-type storms occur every year in all the major ocean basins… they just don ’ t happen to hit major metropolitan areas ."," ""The overall increases in hurricanes and tornadoes have not materialized."""," ""Major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past."""," IsIncreased(a),  IsIncreased(b),  IsIncreased(c)"," IsLessFrequent(d),  IsInGulfOfMexico(e),  IsInCenturiesPast(f)",[],[],"[(' Major hurricane activity', ' overall'), (' hurricanes', ' Major hurricane activity')]",~IsIncreased(a) and ~IsIncreased(b) and ~IsIncreased(c),IsLessFrequent(d) and (IsInGulfOfMexico(e) and IsInCenturiesPast(f)),(exists b (forall a (~IsIncreased(a) and ~IsIncreased(b) and ~IsIncreased(c)))) -> (forall d (exists d (IsLessFrequent(d) and (IsInGulfOfMexico(e) and IsInCenturiesPast(f))))),(exists b (exists a (exists c (~IsIncreased(a) and ~IsIncreased(b) and ~IsIncreased(c))))) -> (exists d (exists e (exists f (IsLessFrequent(d) and (IsInGulfOfMexico(e) and IsInCenturiesPast(f))))))
ad hominem,0,Should we trust these computer models of doom ?," ""Computer models of doom are just predictions."""," ""We should not trust these computer models of doom.""", IsPredictingDoom(a), IsTrustworthy(d),[],"[(' doom', ' doom')]","[(' These computer models', ' Computer models'), (' These computer models', ' predictions'), (' doom', ' predictions')]",IsPredictingDoom(a) and ~IsDoom(b),~IsTrustworthy(a),(IsPredictingDoom(a) and ~IsDoom(b)) -> (~IsTrustworthy(a)),(exists b (exists a (IsPredictingDoom(a) and ~IsDoom(b)))) -> (exists a (~IsTrustworthy(a)))
false causality,0,"The rise in Arctic temperatures is probably also tied to a sudden warming of the stratosphere , the atmospheric layer about 30,000 feet high — above where most weather happens — that occurred several weeks ago , Moore said ."," ""The rise in Arctic temperatures is tied to a sudden warming of the stratosphere."""," ""The warming of the stratosphere occurred several weeks ago."""," IsTiedTo(a,b)"," Occurred(a,c)",[],"[(' stratosphere', ' stratosphere')]",[],"IsTiedTo(a,b)","Occurred(a,c)","(IsTiedTo(a,b)) -> (Occurred(a,c))","(exists b (exists a (IsTiedTo(a,b)))) -> (exists a (exists c (Occurred(a,c))))"
false dilemma,0,The World Coal Association disputed the conclusion that stopping global warming calls for an end of coal use ., The World Coal Association disputed the conclusion. Implication: , The World Coal Association disputed the conclusion. Implication: , IsDisputed(b), IsDisputed(b),[],"[(' The World Coal Association', ' The World Coal Association'), (' conclusion.', ' conclusion.')]",[], a and ~b,IsDisputed(b) and ~IsConclusion(b),( a and ~b) -> (IsDisputed(b) and ~IsConclusion(b)),(exists b (exists a ( a and ~b))) -> (exists b (IsDisputed(b) and ~IsConclusion(b)))
fallacy of logic,0,The problem with this ploy is that carbon dioxide is not a pollutant and it is dishonest to say it is .," ""Carbon dioxide is not a pollutant."""," ""It is dishonest to say it is.""", IsNotAPollutant(a), IsDishonest(d),[],[],[],~IsAPollutant(b),IsDishonest(e),(~IsAPollutant(b)) -> (IsDishonest(e)),(exists b (~IsAPollutant(b))) -> (exists e (IsDishonest(e)))
