,logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
10,intentional,0,"Ice core drilling shows that 800 years after natural warming , the atmosphere increases in carbon dioxide . The zenith of the Little Ice Age was 300 years ago and since then we have slightly warmed and cooled during a long-term warming trend . Instrumental temperature measurements over the past 150 years show no correlation between human emissions of CO2 and ­temperature . On all timescales it can be shown that there is no correlation between CO2 emissions and global warming ."," ""Ice core drilling shows that the atmosphere increases in carbon dioxide 800 years after natural warming.""  "," ""There is no correlation between CO2 emissions and global warming.""","ShowsIncrease(b, c, a, d)","HasNoCorrelation(e, f)",[],[],"[(' CO2 emissions', ' the atmosphere'), (' the atmosphere', ' global warming'), (' carbon dioxide', ' CO2 emissions'), (' carbon dioxide', ' global warming'), (' natural warming', ' global warming')]","ShowsIncrease(b, c, a, d)","HasNoCorrelation(e, f)","(exists d (exists c (forall b (ShowsIncrease(b, c, a, d))))) -> (forall e (forall f (exists e (HasNoCorrelation(e, f)))))","(exists c (exists d (exists a (exists b (ShowsIncrease(b, c, a, d)))))) -> (exists e (exists f (HasNoCorrelation(e, f))))",LF
11,intentional,0,There is no proof the current rate of change in Antarctica will continue .," ""There is no proof the current rate of change in Antarctica will continue.""  "," ""The current rate of change in Antarctica may not continue.""","IsNoProof(a),  WillContinue(a, b)","IsUncertain(a),  MayNotContinue(a, b)",[],"[(' the current rate of change', ' The current rate of change'), (' Antarctica', ' Antarctica')]",[],"IsNoProof(a) and ~WillContinue(a, b)","IsUncertain(a) and ~MayNotContinue(a, b)","(IsNoProof(a) and ~WillContinue(a, b)) -> (IsUncertain(a) and ~MayNotContinue(a, b))","(exists a (exists b (IsNoProof(a) and ~WillContinue(a, b)))) -> (exists a (exists b (IsUncertain(a) and ~MayNotContinue(a, b))))",LF
12,fallacy of credibility,0,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain .", Research shows that the process is overpowering the erosion from sea-level rise.  , The process leads to net land-area gain.,"IsOverpowering(a, b),  IsFromSeaLevelRise(b, c)","IsLeadingTo(a, d)",[],"[(' the process', ' The process')]","[(' net land-area gain', ' the process'), (' erosion', ' The process'), (' sea-level rise', ' The process')]","IsOverpowering(a, b) and IsFromSeaLevelRise(b, c)","IsLeadingTo(a, d)","(exists c (exists b (forall a (IsOverpowering(a, b) and IsFromSeaLevelRise(b, c))))) -> (forall a (exists d (IsLeadingTo(a, d))))","(exists c (exists a (exists b (IsOverpowering(a, b) and IsFromSeaLevelRise(b, c))))) -> (exists d (exists a (IsLeadingTo(a, d))))",LF
13,false dilemma,0,"When it thaws and is released , that carbon may evaporate as methane , which is 34 times as powerful a greenhouse-gas warming blanket as carbon dioxide when judged on the timescale of a century ; when judged on the timescale of two decades , it is 86 times as powerful ."," ""Carbon may evaporate as methane.""  "," ""Methane is a powerful greenhouse gas.""","IsEvaporatedAs(b, a)","IsPowerful(a),  IsGreenhouseGas(c)",[],"[(' methane', ' Methane')]","[(' Carbon', ' greenhouse gas'), (' methane', ' greenhouse gas')]","IsEvaporatedAs(b, a)",IsPowerful(a) and IsGreenhouseGas(c),"(exists a (exists b (IsEvaporatedAs(b, a)))) -> (forall c (IsPowerful(a) and IsGreenhouseGas(c)))","(exists a (exists b (IsEvaporatedAs(b, a)))) -> (exists c (exists a (IsPowerful(a) and IsGreenhouseGas(c))))",LF
14,appeal to emotion,0,We are the envy of the world .," ""We are the envy of the world.""  "," ""The world envies us.""","IsEnvyOf(b, a)","IsEnviedBy(a, c)",[],"[(' the world', ' The world')]","[(' us', ' We')]","IsEnvyOf(b, a)","IsEnviedBy(a, c)","(forall b (IsEnvyOf(b, a))) -> (exists c (IsEnviedBy(a, c)))","(exists a (exists b (IsEnvyOf(b, a)))) -> (exists c (exists a (IsEnviedBy(a, c))))",LF
15,fallacy of credibility,0,"The new research suggests that the oceans hundreds of millions of years ago were much cooler than we thought . If true , that means that the global warming we are currently undergoing is unparallelled within the last 100 million years , and far worse than we had previously calculated ."," ""The oceans hundreds of millions of years ago were much cooler than previously thought.""  "," ""The current global warming is unparalleled within the last 100 million years and far worse than previously calculated.""","IsCoolerThanPreviouslyThought(a, b)","IsUnparalleled(c, d),  IsWorseThanPreviouslyCalculated(c)",[],[],"[(' the last 100 million years', ' hundreds of millions of years ago')]","IsCoolerThanPreviouslyThought(a, b)","IsUnparalleled(c, d) and IsWorseThanPreviouslyCalculated(c)","(forall b (IsCoolerThanPreviouslyThought(a, b))) -> (exists d (IsUnparalleled(c, d) and IsWorseThanPreviouslyCalculated(c)))","(exists a (exists b (IsCoolerThanPreviouslyThought(a, b)))) -> (exists c (exists d (IsUnparalleled(c, d) and IsWorseThanPreviouslyCalculated(c))))",LF
16,appeal to emotion,0,So it ’ s been a surprise to climate scientists that 2017 has been so remarkably warm — because the last El Niño ended a year ago .," ""2017 has been remarkably warm.""  "," ""2017 is surprising to climate scientists.""",IsRemarkablyWarm(a),"IsSurprising(a, b)",[],"[(' 2017', ' 2017')]",[],IsRemarkablyWarm(a),"IsSurprising(a, b)","(IsRemarkablyWarm(a)) -> (IsSurprising(a, b))","(exists a (IsRemarkablyWarm(a))) -> (exists a (exists b (IsSurprising(a, b))))",LF
17,fallacy of extension,0,"Although the extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050 , the predicted 67-per-cent decline in polar bear numbers simply didn ’ t happen ."," ""The extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050.""  "," ""The predicted 67-per-cent decline in polar bear numbers did not happen.""","IsExtentOfSummerSeaIce(a),  IsAfterYear(a,b),  IsDroppedAbruptly(a),  IsExpectedUntil(c,d)","IsPredictedDecline(e),  IsInPolarBearNumbers(f),  DidNotHappen(e)",[],[],"[(' The predicted 67-per-cent decline', ' The extent of the summer sea ice'), (' The predicted 67-per-cent decline', ' levels')]","IsExtentOfSummerSeaIce(a) and IsAfterYear(a,b) and IsDroppedAbruptly(a) and ~IsExpectedUntil(c,d)",IsPredictedDecline(e) and IsInPolarBearNumbers(f) and DidNotHappen(e),"(forall c (forall a (IsExtentOfSummerSeaIce(a) and IsAfterYear(a,b) and IsDroppedAbruptly(a) and ~IsExpectedUntil(c,d)))) -> (exists e (IsPredictedDecline(e) and IsInPolarBearNumbers(f) and DidNotHappen(e)))","(exists c (exists d (exists a (exists b (IsExtentOfSummerSeaIce(a) and IsAfterYear(a,b) and IsDroppedAbruptly(a) and ~IsExpectedUntil(c,d)))))) -> (exists e (exists f (IsPredictedDecline(e) and IsInPolarBearNumbers(f) and DidNotHappen(e))))",LF
18,ad populum,0,"Not only do polls suggest the public is unmoved at home and in abroad , serial exaggeration at this point is arguably backfiring , confirming the perils of climate exaggeration ."," ""Polls suggest the public is unmoved at home and abroad.""  "," ""Climate exaggeration is backfiring.""","Suggests(a,b),  IsUnmoved(b,c),  IsUnmoved(b,d)",IsBackfiring(e),[],[],[],"Suggests(a,b) and IsUnmoved(b,c) and IsUnmoved(b,d)",IsBackfiring(e),"(Suggests(a,b) and IsUnmoved(b,c) and IsUnmoved(b,d)) -> (IsBackfiring(e))","(exists c (exists d (exists a (exists b (Suggests(a,b) and IsUnmoved(b,c) and IsUnmoved(b,d)))))) -> (exists e (IsBackfiring(e)))",LF
19,ad hominem,0,Green activists are at war with the greatest American foe since the Axis Powers—or so they say .," ""Green activists are at war with the greatest American foe since the Axis Powers.""  "," ""Green activists are exaggerating their situation.""","IsGreenActivist(a),  IsFoeOf(b, a),  IsSince(c, b)","IsGreenActivist(a),  IsExaggerated(d)",[],"[(' Green activists', ' Green activists')]",[],"IsGreenActivist(a) and IsFoeOf(b, a) and IsSince(c, b)",IsGreenActivist(a) and IsExaggerated(d),"(IsGreenActivist(a) and IsFoeOf(b, a) and IsSince(c, b)) -> (IsGreenActivist(a) and IsExaggerated(d))","(exists c (exists a (exists b (IsGreenActivist(a) and IsFoeOf(b, a) and IsSince(c, b))))) -> (exists d (exists a (IsGreenActivist(a) and IsExaggerated(d))))",LF
20,false dilemma,0,"Global warming is not even the obvious top environmental threat . Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide ."," ""Dirty water, dirty air, and insect-borne diseases are greater problems today for most people worldwide than global warming.""  "," ""Global warming is not the top environmental threat.""","IsDirtyWater(a),  IsDirtyAir(b),  IsInsectBorneDiseases(c),  IsGreaterProblemThan(d, f),  Affects(e, d)","IsGlobalWarming(g),  IsTopEnvironmentalThreat(h),  IsNot(g, h)",[],[],"[(' Dirty water', ' the top environmental threat'), (' dirty air', ' the top environmental threat'), (' Global warming', ' global warming.'), (' global warming.', ' the top environmental threat')]","(IsDirtyWater(a) and IsDirtyAir(b) and IsInsectBorneDiseases(c) and IsGreaterProblemThan(d, f) and Affects(e, d))","IsGlobalWarming(g) and IsNot(g, h)","(forall f (exists b (exists a ((IsDirtyWater(a) and IsDirtyAir(b) and IsInsectBorneDiseases(c) and IsGreaterProblemThan(d, f) and Affects(e, d)))))) -> (exists g (forall h (IsGlobalWarming(g) and IsNot(g, h))))","(exists c (exists d (exists a (exists e (exists b (exists f ((IsDirtyWater(a) and IsDirtyAir(b) and IsInsectBorneDiseases(c) and IsGreaterProblemThan(d, f) and Affects(e, d))))))))) -> (exists g (exists h (IsGlobalWarming(g) and IsNot(g, h))))",
21,ad hominem,0,"And for the media it ’ s ideology , money , and headlines ."," ""The media prioritizes ideology, money, and headlines.""  "," ""The media does not prioritize truth.""","PrioritizesIdeology(a, b),  PrioritizesMoney(a, c),  PrioritizesHeadlines(a, d)","DoesNotPrioritizeTruth(a, e)",[],"[(' The media', ' The media')]","[(' headlines', ' The media')]","PrioritizesIdeology(a, b) and PrioritizesMoney(a, c) and PrioritizesHeadlines(a, d)","~DoesNotPrioritizeTruth(a, e)","(exists d (PrioritizesIdeology(a, b) and PrioritizesMoney(a, c) and PrioritizesHeadlines(a, d))) -> (forall a (~DoesNotPrioritizeTruth(a, e)))","(exists c (exists d (exists a (exists b (PrioritizesIdeology(a, b) and PrioritizesMoney(a, c) and PrioritizesHeadlines(a, d)))))) -> (exists a (exists e (~DoesNotPrioritizeTruth(a, e))))",LF
22,faulty generalization,0,"The Earth has experienced five mass extinctions before the one we are living through now , each so complete a slate-wiping of the evolutionary record it functioned as a resetting of the planetary clock , and many climate scientists will tell you they are the best analog for the ecological future we are diving headlong into ."," ""The Earth has experienced five mass extinctions before the current one.""  "," ""The current ecological future is similar to past mass extinctions.""","IsEarth(a),  HasMassExtinctions(a, b),  IsCurrent(c)","IsCurrentEcologicalFuture(a),  IsSimilar(a, d)",[],"[(' The Earth', ' The current ecological future')]","[(' past mass extinctions', ' The Earth'), (' five mass extinctions', ' past mass extinctions')]","IsEarth(a) and HasMassExtinctions(a, b) and ~IsCurrent(c)","IsCurrentEcologicalFuture(a) and IsSimilar(a, d)","(exists b (forall a (IsEarth(a) and HasMassExtinctions(a, b) and ~IsCurrent(c)))) -> (forall d (exists d (IsCurrentEcologicalFuture(a) and IsSimilar(a, d))))","(exists c (exists a (exists b (IsEarth(a) and HasMassExtinctions(a, b) and ~IsCurrent(c))))) -> (exists d (exists a (IsCurrentEcologicalFuture(a) and IsSimilar(a, d))))",LF
23,intentional,0,"The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today ."," ""The highest recorded temperature ever reported was 136 degrees Fahrenheit in Libya in 1922.""  "," ""Fossil fuel emissions in 1913 and 1922 did not significantly affect temperature records.""","IsHighestRecorded(b),  IsReportedAs(c, b),  IsInLocation(c, d),  IsInYear(c, a)","IsInYear(e, f),  IsInYear(e, a),  DidNotSignificantlyAffect(e, g)",[],"[(' 1922', ' 1922')]","[(' 136 degrees Fahrenheit', ' 1913'), (' 136 degrees Fahrenheit', ' 1922'), (' 136 degrees Fahrenheit', ' temperature records')]","IsHighestRecorded(b) and IsReportedAs(c, b) and IsInLocation(c, d) and IsInYear(c, a)","(IsInYear(e, f) and IsInYear(e, a)) and DidNotSignificantlyAffect(e, g)","(exists c (IsHighestRecorded(b) and IsReportedAs(c, b) and IsInLocation(c, d) and IsInYear(c, a))) -> (forall g (forall a (forall f ((IsInYear(e, f) and IsInYear(e, a)) and DidNotSignificantlyAffect(e, g)))))","(exists c (exists d (exists a (exists b (IsHighestRecorded(b) and IsReportedAs(c, b) and IsInLocation(c, d) and IsInYear(c, a)))))) -> (exists g (exists a (exists e (exists f ((IsInYear(e, f) and IsInYear(e, a)) and DidNotSignificantlyAffect(e, g))))))",
24,intentional,0,"In the very year they had forecast that the Arctic would be “ ice free ” , its thickness increased by a third . Polar bear numbers are rising , not falling . Temperatures in Greenland have shown no increase for decades ."," ""The Arctic thickness increased by a third.""  "," ""The Arctic will not be ice free.""",IsIncreased(a),IsNotIceFree(b),[],[],"[(' The Arctic thickness', ' The Arctic')]",IsIncreased(a),~IsNotIceFree(b),(exists a (IsIncreased(a))) -> (forall b (~IsNotIceFree(b))),(exists a (IsIncreased(a))) -> (exists b (~IsNotIceFree(b))),LF
