,sentence1,sentence2,label,result
3278,Two women are tending to their herd of animals including cows and goats near a building made primarily of stone.,The two women are taking care of a herd of animals,1,1
1159,A boy and girl play together on a pile or rocks in a residential area.,The boy and girl are outside,1,1
3240,A boy stands in the middle of a crowd of teenagers.,A person stands in the middle of a crowd of teenagers.,1,1
124,Two men are standing in a boat.,Some people are in a boat.,1,1
1539,An Asian woman dressed in a colorful outfit laughing.,A woman is wearing colorful clothing.,1,1
238,A woman in black reviews a message as she walks to work.,The woman in black has a job.,1,1
2098,A shirtless man rock climbs.,A man is outside,1,1
600,A man wearing a kilt has thrown a large pole.,A man is wearing a skirt.,1,0
1638,A man in a blue t-shirt is taking a picture while a woman with an umbrella walks behind him.,A man is taking a picture outdoors while a woman walks behind him.,1,1
1373,A child and a parent or older sibling going for a hike.,Two people are going for a hike.,1,1
1342,Two kids in black trunks bouncing on a wet trampoline.,Children play on trampolines outdoors.,1,1
1965,2 people with backpacks are at a table with a woman with a beige blazer sitting behind it.,2 people are at a table,1,1
2276,"A group stands and watches two men, apparently dressed in some sort of costume, wrestle on the ground.",there are people wrestling,1,1
2802,"two girls looking out the window at ""Hair at Hart.""",Two people look out a window.,1,1
1007,A man visiting a friend in the hospital.,A man in a hospital receives a visiting friend.,1,1
362,A schoolgirl is jumping over a low hurdle.,A girl is jumping over a hurdle.,1,1
2030,Young Asian girl is sitting on the ground in rubble.,The young Asian girl is outside in the rubble.,1,1
1218,A group of women sing together while wearing matching black dresses.,There are women singing.,1,1
1645,Two boys in running clothes stretching.,The boys are stretching.,1,1
3252,A group of young men in a gym take turns scoring in basketball.,Guys are indoors.,1,1
1120,An Eastern vendor sits by his stall with a rooster nearby.,a rooster near a vendor,1,1
3258,A bird is perched on a tree branch.,A bird is perching in a tree.,1,1
347,A man in an overcoat putting on his gloves at a subway station.,A person is in the subway station.,1,1
1518,Person with umbrella observes flooded streets with cars in the water.,A person is outside.,1,1
2744,A group of people are camping out on some rocks.,People are outdoors.,1,1
1152,A choir made up of varying ages of people are performing.,The choir is singing.,1,1
802,A man scales a rock climbing wall.,A man rock climbing.,1,1
3121,"A little white dog runs outside, their ears blown back in the wind.",There is an animal outside.,1,1
3328,A bearded man sits near a white van.,a man sitting outside near a van.,1,1
1851,Two children wearing hooded tops laughing with each other.,children laugh,1,1
1866,A man in glasses in a basement.,The basement has a man in it.,1,1
2228,A man in a white shirt speaks into a microphone as other men gather behind him at a public event.,A man in a white shirt is making a speech in front of a crowd.,1,1
2068,A brown and white dog is chained up near a red chair.,The dog is chained to a chair.,1,1
483,This is when daddy taught her how to ride her scooter.,daddy taught her,1,1
2383,A small girl with short brown hair is pushing a pink scooter over grass with brown leaves with threes in the background,The girl is outside.,1,1
764,"A man wearing a black cap is suspended in the air on a swing, as children are swinging on a swing set.",A man in a black hat is swinging with some children.,1,1
1305,"A man with a blue, collared shirt sits in front of another man.",a man sits in front of another man,1,1
850,"A young man in an orange shirt, maneuvers a skateboard at the top of a ramp.",A person rides a skateboard.,1,1
109,A large group of people walking in a busy city at night.,People are walking a city.,1,1
955,A group of people are walking by a van.,Some people outdoors.,1,1
1096,A white and a black dog fighting in a fenced in room.,The dogs are fighting.,1,1
1402,A white greyhound dog wearing a muzzle runs around a track.,The dog is racing other dogs.,1,1
443,The pitcher is pitching the ball in a game of baseball.,The pitcher throws the ball.,1,1
98,"Girl in a red coat, blue head wrap and jeans is making a snow angel.",A girl outside plays in the snow.,1,1
1341,Men in an office with computers and a projector screen.,There are computers and a projector screen in the room.,1,1
1760,A small child in a red jacket is sitting on a man's shoulders and holding his head.,The child's hands are on the man's head.,1,1
383,Three girls are standing and talking to each other.,Three girls are talking,1,1
3154,a man with a cap and not wearing shirt is laying a wooden bench.,A man relaxes on a bench,1,1
1366,A man in a red shirt is being filmed by another man on a sports field with a huge audience of people watching and cheering.,The man is being filmed by another man.,1,1
1050,A man in a suit cheering in a library in front of children.,A guy is cheering near some children.,1,1
3242,A man in suit waiting for the green light.,A man waits at a red light.,1,0
1420,"A man smokes while leaning against a pillar, which has a ""missing person"" flier posted on it.",a guy smoking against a wall with a flier on it,1,1
2603,A woman is standing at a podium.,A person is at a podium.,1,1
194,Four boys are about to be hit by an approaching wave.,A wave is about hit some boys.,1,1
1336,people are sitting on a bench in front of buildings.,Some people are seated on a bench outside.,1,1
2511,The skateboarder is jumping his board in the air while another skateboarder watches.,A skateboarder is jumping.,1,1
3330,A man wearing a black hat and coat makes a face with a crowd behind him.,A guy is standing near a crowd of people.,1,1
1135,A group of soldiers march in a parade.,A group of people march in a parade.,1,1
1112,The 3 dogs are cruising down the street.,three dogs together,1,1
2479,The gentleman is speaking while the others are listening.,The man is being given respect.,1,1
3211,One child in black is walking down a hill covered in white snow while 2 children are on their knees.,"There are three children in this picture, and they are all outside.",1,1
815,A group of people are sight seeing and taking pictures.,there are a group of people,1,1
3118,Army men grilling a lot of meat while his troop looks on.,Some of the people here have been in the armed forces.,1,1
2585,The basketball player in red is challenging the player in white for the ball.,People are playing basketball.,1,1
2970,A older man with gray hair wearing a gray suit next to a green and yellow taxi.,A older man with gray hair wearing a gray suit.,1,1
1388,"A man drops something, reaching for it while a woman in a beige blazer discusses an important topic.",A woman is talking while a man is reaching for something.,1,1
1662,A crowd watching a skateboarder.,A person is skateboarding,1,1
3125,A male guitar player is vigorously singing a not to a song in a poorly lit room.,A man is singing indoors.,1,1
126,The sun breaks through the trees as a child rides a swing.,A child rides a swing in the daytime.,1,1
