,Unnamed: 0,logical_fallacies,label,articles,Logical Form,Logical Form 2,result
16,16,appeal to emotion,0,So it ’ s been a surprise to climate scientists that 2017 has been so remarkably warm — because the last El Niño ended a year ago .,"(IsWarm(b) and IsRemarkablyWarm(b) & (forall c (forall b (forall a ( IsRemarkablyWarm(b) ->  IsSurprisedBy(c,a))))) & (forall c (forall b (forall a ( IsSurprisedBy(c,a) ->  IsRemarkablyWarm(b)))))) -> (IsSurprisedBy(c,a))","(exists b (IsWarm(b) and IsRemarkablyWarm(b)) & (forall e (forall d (forall f ( IsRemarkablyWarm(d) ->  IsSurprisedBy(e,f))))) & (forall i (forall h (forall g ( IsSurprisedBy(g,h) ->  IsRemarkablyWarm(i)))))) -> (exists c (exists a (IsSurprisedBy(c,a))))",1
17,17,fallacy of extension,0,"Although the extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050 , the predicted 67-per-cent decline in polar bear numbers simply didn ’ t happen .","(IsAtLevels(a,b) and IsExpectedIn2050(c)) -> (~IsPredicted(d))","(exists c (exists a (exists b (IsAtLevels(a,b) and IsExpectedIn2050(c))))) -> (exists d (~IsPredicted(d)))",1
18,18,ad populum,0,"Not only do polls suggest the public is unmoved at home and in abroad , serial exaggeration at this point is arguably backfiring , confirming the perils of climate exaggeration .",(forall a (IsUnmoved(a) and IsAtHome(b) or IsAbroad(c))) -> (exists e (exists d (IsBackfiring(d) and IsConfirming(e)))),(exists c (exists a (exists b (IsUnmoved(a) and IsAtHome(b) or IsAbroad(c))))) -> (exists e (exists d (IsBackfiring(d) and IsConfirming(e)))),1
19,19,ad hominem,0,Green activists are at war with the greatest American foe since the Axis Powers—or so they say .,(forall a (IsAtWarWith(a))) -> (exists c (exists b (IsTheGreatest(a) and (IsAmerican(b) and IsAxisPowers(c))))),(exists a (IsAtWarWith(a))) -> (exists c (exists a (exists b (IsTheGreatest(a) and (IsAmerican(b) and IsAxisPowers(c)))))),0
20,20,false dilemma,0,"Global warming is not even the obvious top environmental threat . Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide .",(forall b (exists a (IsObvious(b) and IsTopEnvironmentalThreat(a))) & (forall d (forall b (  IsFarGreater(d) ->  IsObvious(b))))) -> (exists d (forall g ((IsInsectBorne(e) and IsFarGreater(d)) and (IsForMostPeople(f) and IsWorldWide(g))))),(exists a (exists b (IsObvious(b) and IsTopEnvironmentalThreat(a))) & (forall h (forall i (  IsFarGreater(h) ->  IsObvious(i))))) -> (exists e (exists d (exists f (exists g ((IsInsectBorne(e) and IsFarGreater(d)) and (IsForMostPeople(f) and IsWorldWide(g))))))),0
21,21,ad hominem,0,"And for the media it ’ s ideology , money , and headlines .",(forall b (IsIdeologyFor(b))) -> (exists a (IsImportantFor(b) and (IsMoney(c) or IsHeadlines(a)))),(exists b (IsIdeologyFor(b))) -> (exists c (exists b (exists a (IsImportantFor(b) and (IsMoney(c) or IsHeadlines(a)))))),1
22,22,faulty generalization,0,"The Earth has experienced five mass extinctions before the one we are living through now , each so complete a slate-wiping of the evolutionary record it functioned as a resetting of the planetary clock , and many climate scientists will tell you they are the best analog for the ecological future we are diving headlong into .","(HasExperienced(a) & (forall a (forall d ( HasExperienced(a) ->   IsSimilarTo(d, a))))) -> (Believe(c) and IsSimilarTo(d, a))","(exists a (HasExperienced(a)) & (forall e (forall f (forall g ( HasExperienced(e) ->   IsSimilarTo(f,g)))))) -> (exists c (exists a (exists d (Believe(c) and IsSimilarTo(d, a)))))",1
23,23,intentional,0,"The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today .","(IsHighestRecordTemperature(b) and IsInLibya(c) and IsIn1922(a)) -> (IsNegligibleComparedTo(d, a) and ~IsNegligibleComparedTo(f))","(exists c (exists b (exists a (IsHighestRecordTemperature(b) and IsInLibya(c) and IsIn1922(a))))) -> (exists d (exists f (exists a (IsNegligibleComparedTo(d, a) and ~IsNegligibleComparedTo(f)))))",0
24,24,intentional,0,"In the very year they had forecast that the Arctic would be “ ice free ” , its thickness increased by a third . Polar bear numbers are rising , not falling . Temperatures in Greenland have shown no increase for decades .",(forall a (IsPredictedToBeIceFree(a) and ~IncreasedByAThird(b))) -> (exists c (IsRising(c))),(exists a (exists b (IsPredictedToBeIceFree(a) and ~IncreasedByAThird(b)))) -> (exists c (IsRising(c))),1
25,25,fallacy of extension,0,"Why , between 2009 and 2014 , did Defra spend a whopping £12.5 million on an ocean acidification research programme when the issue could have been resolved , for next to nothing , after a few hours ’ basic research ?","(forall d (IsDefra(a) and WasBetween(c,d))) -> (exists e (IsIssueOfOceanAcidification(e) and (IsNextToNothing(f) and IsBasicResearch(g))))","(exists c (exists a (exists d (IsDefra(a) and WasBetween(c,d))))) -> (exists e (exists f (exists g (IsIssueOfOceanAcidification(e) and (IsNextToNothing(f) and IsBasicResearch(g))))))",0
26,26,faulty generalization,0,"For decades , most scientists saw climate change as a distant prospect .",(exists a (MostScientists(b) and IsDistant(a))) -> (forall c (IsUrgent(c))),(exists a (exists b (MostScientists(b) and IsDistant(a)))) -> (exists c (IsUrgent(c))),1
27,27,appeal to emotion,0,"If your anxiety about global warming is dominated by fears of sea-level rise , you are barely scratching the surface of what terrors are possible , even within the lifetime of a teenager today .",(IsBarelyScratching(a) and ArePossible(b)) -> (IsExperiencing(c)),(exists a (exists b (IsBarelyScratching(a) and ArePossible(b)))) -> (exists c (IsExperiencing(c))),1
28,28,intentional,0,"Skeptics have long pointed to ice gain in the Southern Hemisphere as evidence climate change wasn ’ t occurring , but scientists warned that it was caused by natural variations and circulations in the atmosphere .",(exists c (exists b (IsWarned(a) and (IsCausedBy(b) and IsIn(c))))) -> (forall e (Isn'tOccurring(f) and ~IsOccurring(e))),(exists c (exists a (exists b (IsWarned(a) and (IsCausedBy(b) and IsIn(c)))))) -> (exists e (exists f (Isn'tOccurring(f) and ~IsOccurring(e)))),1
29,29,intentional,0,"Furthermore , the overall increases in such things as hurricanes and tornadoes have not materialized . Drought in the western U.S. pales in comparison to the mega-droughts tree rings tell us existed in centuries past . Lake-bottom sediments in Florida tell us that recent major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past . Strong Sandy-type storms occur every year in all the major ocean basins… they just don ’ t happen to hit major metropolitan areas .","(exists b (forall a (IsIncreased(a) and ~IsNotMaterialized(b,c)))) -> (forall d (exists d (IsLessFrequent(d) and (IsInGulfOfMexico(e) and IsInCenturiesPast(f)))))","(exists c (exists a (exists b (IsIncreased(a) and ~IsNotMaterialized(b,c))))) -> (exists e (exists d (exists f (IsLessFrequent(d) and (IsInGulfOfMexico(e) and IsInCenturiesPast(f))))))",1
30,30,ad hominem,0,Should we trust these computer models of doom ?,(forall c (IsPrediction(c) and ~IsDoom(a))) -> (exists a (exists e (IsTrustworthy(e) and ~IsDoom(a)))),(exists c (exists a (IsPrediction(c) and ~IsDoom(a)))) -> (exists e (exists a (IsTrustworthy(e) and ~IsDoom(a)))),0
31,31,false causality,0,"The rise in Arctic temperatures is probably also tied to a sudden warming of the stratosphere , the atmospheric layer about 30,000 feet high — above where most weather happens — that occurred several weeks ago , Moore said .","(IsTiedTo(a,b) and IsSudden(a) & (forall c (forall a (forall b ( IsTiedTo(a,b) ->  IsOccurred(a,c))))) & (forall c (forall a (  IsSudden(a) ->  IsOccurred(a,c))))) -> (IsOccurred(a,c) and IsSeveralWeeksAgo(c))","(exists a (exists b (IsTiedTo(a,b) and IsSudden(a))) & (forall e (forall d (forall f ( IsTiedTo(d,e) ->  IsOccurred(d,f))))) & (forall h (forall g (  IsSudden(g) ->  IsOccurred(g,h))))) -> (exists c (exists a (IsOccurred(a,c) and IsSeveralWeeksAgo(c))))",1
32,32,false dilemma,0,The World Coal Association disputed the conclusion that stopping global warming calls for an end of coal use .,(exists c (IsDisputed(b) and IsEnded(c)) & (forall c (forall d (  IsEnded(c) ->  IsNotNecessary(d)))) & (forall c (forall d ( IsNotNecessary(d) ->   IsEnded(c)))) & (forall c (forall a (  IsEnded(c) ->   IsStopped(a))))) -> (forall a (IsNotNecessary(d) and IsStopped(a))),(exists c (exists b (IsDisputed(b) and IsEnded(c))) & (forall e (forall f (  IsEnded(e) ->  IsNotNecessary(f)))) & (forall h (forall g ( IsNotNecessary(g) ->   IsEnded(h)))) & (forall j (forall i (  IsEnded(i) ->   IsStopped(j))))) -> (exists d (exists a (IsNotNecessary(d) and IsStopped(a)))),0
33,33,fallacy of logic,0,The problem with this ploy is that carbon dioxide is not a pollutant and it is dishonest to say it is .,(~IsAPollutant(b)) -> (IsDishonest(e)),(exists b (~IsAPollutant(b))) -> (exists e (IsDishonest(e))),0
34,34,appeal to emotion,0,"“ It ’ s sobering to think of this magnificent landscape and how fundamentally it can change over a relatively short time period , ” he added .",(IsMelting(a) and IsAlarming(b)) -> (IsAffected(c)),(exists a (exists b (IsMelting(a) and IsAlarming(b)))) -> (exists c (IsAffected(c))),1
35,35,fallacy of credibility,0,"NASA honored him for this achievement , and he was an author for a previous edition of the U.N. report . He told a House Science Committee hearing in March 2017 that the U.N. climate models have failed badly . Christy compared the average model projections since 1979 to the most reliable observations — those made by satellites and weather balloons over the vast tropics .",(forall c (forall b (exists b (IsHonoredByNASA(b) and HasAchievement(c)))) & (forall e (forall c (  IsInHouseScienceCommittee(e) ->   HasAchievement(c)))) & (forall c (forall f (  IsInMarch2017(f) ->   HasAchievement(c))))) -> (exists f (forall d (IsTold(d) and (IsInHouseScienceCommittee(e) and IsInMarch2017(f)) and AreFailed(g)))),(exists c (exists b (IsHonoredByNASA(b) and HasAchievement(c))) & (forall h (forall i (  IsInHouseScienceCommittee(h) ->   HasAchievement(i)))) & (forall k (forall j (  IsInMarch2017(j) ->   HasAchievement(k))))) -> (exists e (exists d (exists f (exists g (IsTold(d) and (IsInHouseScienceCommittee(e) and IsInMarch2017(f)) and AreFailed(g)))))),1
36,36,appeal to emotion,0,"The 2009 Black Saturday bushfires , which claimed the lives of 173 Australians , are etched into the national consciousness . But in the heatwave that led up to the fires , the number of deaths soared .",(forall c (IsIn2009(a) and (IsOnBlackSaturday(b) and AreAustralians(c)))) -> (exists d (IsSoared(d) and (IsInHeatwave(e) and IsOnFires(f)))),(exists c (exists a (exists b (IsIn2009(a) and (IsOnBlackSaturday(b) and AreAustralians(c)))))) -> (exists e (exists d (exists f (IsSoared(d) and (IsInHeatwave(e) and IsOnFires(f)))))),1
37,37,fallacy of credibility,0,Anew study produced by a University of Wisconsin-Madison geoscientist and Northwestern astrophysicist presents an explanation of the fluctuations of the earth 's temperatures that global warming alarmists are going to make sure to bury :,(exists c (exists b (IsVarious(b) and (IsOutput(b) and IsOver(c)))) & (forall c (forall d ( IsBury(d) ->   IsOver(c))))) -> (forall e (IsBury(d) and IsStudy(e))),(exists c (exists b (IsVarious(b) and (IsOutput(b) and IsOver(c)))) & (forall f (forall g ( IsBury(f) ->   IsOver(g))))) -> (exists e (exists d (IsBury(d) and IsStudy(e)))),0
38,38,ad hominem,0,Global warming activists ’ propensity for doing so shows just how little value they place in a truthful debate .,"(exists b (~IsValuing(a,b))) -> (forall c (~IsValuing(a,c)))","(exists a (exists b (~IsValuing(a,b)))) -> (exists c (exists a (~IsValuing(a,c))))",0
39,39,intentional,0,"Some one billion people would be forced to attempt to relocate from unlivable conditions , and two billion would face scarcity of water supplies . Agriculture would collapse in the sub-tropics , and food production would suffer dramatically worldwide . The internal cohesion of nation-states like the US and China would unravel .","(forall c (exists b (forall a (exists a (IsSomeone(a) and (AreBillionPeople(b) and AreUnlivableConditions(c)))))) & (forall e (forall c (forall f (  IsUnraveling(e,f) ->   AreUnlivableConditions(c)))))) -> (forall f (exists f (forall e (IsNationState(d) and (IsUnraveling(e,f) or IsUnraveling(f,e))))))","(exists c (exists a (exists b (IsSomeone(a) and (AreBillionPeople(b) and AreUnlivableConditions(c))))) & (forall i (forall h (forall g (  IsUnraveling(g,h) ->   AreUnlivableConditions(i)))))) -> (exists e (exists d (exists f (IsNationState(d) and (IsUnraveling(e,f) or IsUnraveling(f,e))))))",0
40,40,appeal to emotion,0,"Interstates are under feet of water , local authorities have asked boat owners to join rescue efforts , and most of the streams and rivers near the city are in flood stage .","(IsUnderFeetOfWater(a) and IsWater(b)) -> (ShouldJoin(d,e))","(exists a (exists b (IsUnderFeetOfWater(a) and IsWater(b)))) -> (exists e (exists d (ShouldJoin(d,e))))",1
41,41,appeal to emotion,0,"Even then , the report found that polar bears were moving from ice to land earlier and staying on land longer , unhealthily extending the bears ' fasting season . By the end of summer , most bears studied by the World Wildlife Fund showed signs of starvation . Fifteen years later , polar bears ' icy hunting grounds are in even worse shape .",(exists a (IsOnLand(a) and (IsMovingFromIceToLand(a) and IsStayingOnLandLonger(a)))) -> (forall e (IsOnIcyHuntingGrounds(e) and IsExperiencingStarvation(a))),(exists a (IsOnLand(a) and (IsMovingFromIceToLand(a) and IsStayingOnLandLonger(a)))) -> (exists e (exists a (IsOnIcyHuntingGrounds(e) and IsExperiencingStarvation(a)))),1
42,42,intentional,0,"If ECS is as low as the Energy Balance literature suggests , it means that the climate models we have been using for decades run too hot and need to be revised .",(exists a (IsLow(a))) -> (forall c (IsRevised(c))),(exists a (IsLow(a))) -> (exists c (IsRevised(c))),1
43,43,false dilemma,0,"To the extent that the cost of weather disasters has risen over time , that is well known to be the result of modern society building more infrastructure in areas that are prone to damage from weather—which is almost everywhere .","(forall b (exists b (IsRisenOverTime(b)))) -> (exists d (forall c ((IsBuiltIn(c,d) and IsAlmostEverywhere(e)))))","(exists b (IsRisenOverTime(b))) -> (exists e (exists c (exists d ((IsBuiltIn(c,d) and IsAlmostEverywhere(e))))))",1
44,44,intentional,0,Construction and maintenance of wind and solar facilities ­release far more carbon dioxide than they are meant to save over their working lives and they need to be sup­ported 24/7 by coal-fired generators .,"(forall d (forall b (exists a ((IsReleasedMore(a,b) and SavesMore(c,d)) and ~They(d))))) -> (forall f (IsNeeded(e,f) and (IsWind(f) and IsSolar(f))))","(exists c (exists a (exists b (exists d ((IsReleasedMore(a,b) and SavesMore(c,d)) and ~They(d)))))) -> (exists e (exists f (IsNeeded(e,f) and (IsWind(f) and IsSolar(f)))))",0
45,45,intentional,0,"Others have argued that the records were caused by El Nino , a complex natural phenomenon that takes place every few years , and has nothing to do with greenhouse gas emissions by humans .","(IsCausedBy(a)) -> (IsNothingToDoWith(a,b) and ~IsEmittedBy(c))","(exists a (IsCausedBy(a))) -> (exists c (exists a (exists b (IsNothingToDoWith(a,b) and ~IsEmittedBy(c)))))",1
46,46,fallacy of logic,0,"Salmon are crucial to their coastal ecosystem like perhaps few other species on the planet . A significant portion of the nitrogen in West Coast forests has been traced back to salmon , which can travel hundreds of miles upstream to lay their eggs . The largest trees on Earth simply wouldn ’ t exist without salmon .","(forall b (IsCrucialTo(a,b))) -> (exists d (forall c (exists a (IsWithout(a,c) and (AreLargestTreesOnEarth(d) or ~IsOnEarth(d))))))","(exists a (exists b (IsCrucialTo(a,b)))) -> (exists c (exists a (exists d (IsWithout(a,c) and (AreLargestTreesOnEarth(d) or ~IsOnEarth(d))))))",1
47,47,intentional,0,"Furthermore , whereas in 2008 most of the ice was extremely thin , this year most has been at least two metres thick .",(exists a (IsThin(a) and WasIn2008(b)) & (forall d (forall b (  WasIn2008(b) ->   IsThisYear(d)))) & (forall d (forall b (  IsThisYear(d) ->   WasIn2008(b))))) -> (forall d (IsAtLeastTwoMetersThick(a) and IsThisYear(d))),(exists a (exists b (IsThin(a) and WasIn2008(b))) & (forall e (forall f (  WasIn2008(e) ->   IsThisYear(f)))) & (forall h (forall g (  IsThisYear(g) ->   WasIn2008(h))))) -> (exists a (exists d (IsAtLeastTwoMetersThick(a) and IsThisYear(d)))),1
48,48,fallacy of extension,0,Adding more CO2 molecules to the atmosphere is like painting over a red wall with white paint — the first coat does most of the work of concealing the red .,"(exists c (IsAddedTo(a,b) and IsConcealedBy(a,c))) -> (forall f (IsFirstCoat(d) and IsConcealedBy(e,f)))","(exists c (exists a (exists b (IsAddedTo(a,b) and IsConcealedBy(a,c))))) -> (exists e (exists d (exists f (IsFirstCoat(d) and IsConcealedBy(e,f)))))",1
49,49,fallacy of extension,0,"To limit global warming to 1.5 degree C is “ possible within the laws of chemistry and physics , ” said Jim Skea , co-chair of IPCC Working Group III . “ But doing so would require unprecedented changes . ”",(exists b (IsWithinLawsOfChemistryAndPhysics(b))) -> (forall a (IsRequired(a) and IsWithinLawsOfChemistryAndPhysics(b))),(exists b (IsWithinLawsOfChemistryAndPhysics(b))) -> (exists a (exists b (IsRequired(a) and IsWithinLawsOfChemistryAndPhysics(b)))),1
50,50,fallacy of relevance,0,The role of the sun and clouds was not considered important by modellers . They are the major drivers for the climate on our planet .,"(IsImportantFor(a,c) and IsClimate(c)) -> (IsNotImportantFor(a,d) and DidNotConsider(e))","(exists c (exists a (IsImportantFor(a,c) and IsClimate(c)))) -> (exists e (exists a (exists d (IsNotImportantFor(a,d) and DidNotConsider(e)))))",0
51,51,appeal to emotion,0,In this scenario they may still have the opportunity to visit a living Great Barrier Reef .,"(IsVisit(a,b) and HasOpportunity(a,b)) -> (IsLiving(c))","(exists a (exists b (IsVisit(a,b) and HasOpportunity(a,b)))) -> (exists c (IsLiving(c)))",0
52,52,appeal to emotion,0,"The melting Greenland ice sheet is already a major contributor to rising sea level and if it was eventually lost entirely , the oceans would rise by six metres around the world , flooding many of the world ’ s largest cities .",(forall b (IsInGreenland(a) and ContributesTo(b)) & (forall c (forall b (  ContributesTo(b) ->   RisesBy(c)))) & (forall c (forall b (  RisesBy(c) ->   ContributesTo(b)))) & (forall e (forall b (  Floods(e) ->   ContributesTo(b))))) -> (forall d (exists c (exists a (IsLost(a) and (RisesBy(c) and Contains(d)))))),(exists a (exists b (IsInGreenland(a) and ContributesTo(b))) & (forall f (forall g (  ContributesTo(f) ->   RisesBy(g)))) & (forall h (forall i (  RisesBy(h) ->   ContributesTo(i)))) & (forall k (forall j (  Floods(j) ->   ContributesTo(k))))) -> (exists c (exists a (exists d (IsLost(a) and (RisesBy(c) and Contains(d)))))),1
