,logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
10,intentional,0,"Ice core drilling shows that 800 years after natural warming , the atmosphere increases in carbon dioxide . The zenith of the Little Ice Age was 300 years ago and since then we have slightly warmed and cooled during a long-term warming trend . Instrumental temperature measurements over the past 150 years show no correlation between human emissions of CO2 and ­temperature . On all timescales it can be shown that there is no correlation between CO2 emissions and global warming .", Instrumental temperature measurements over the past 150 years show no correlation between human emissions of CO2 and temperature., CO2 emissions do not cause global warming.,"ShowCorrelation(a, c, d)","Cause(e, f)",[],[],"[(' human emissions of CO2', ' CO2 emissions')]","~ShowCorrelation(a, c, d)","~Cause(e, f)","(exists c (~ShowCorrelation(a, c, d))) -> (forall e (~Cause(e, f)))","(exists a (exists c (exists d (~ShowCorrelation(a, c, d))))) -> (exists e (exists f (~Cause(e, f))))",LF
11,intentional,0,There is no proof the current rate of change in Antarctica will continue ., There is no proof the current rate of change in Antarctica will continue.  , The current rate of change in Antarctica may not continue.,"HasNoProof(c),  IsInAntarctica(a)",IsInAntarctica(a),[],"[(' current rate of change', ' The current rate of change'), (' Antarctica', ' Antarctica')]",[],HasNoProof(c) and IsInAntarctica(a),IsInAntarctica(a) and ~WillContinue(a),(HasNoProof(c) and IsInAntarctica(a)) -> (IsInAntarctica(a) and ~WillContinue(a)),(exists a (exists c (HasNoProof(c) and IsInAntarctica(a)))) -> (exists a (IsInAntarctica(a) and ~WillContinue(a))),LF
12,fallacy of credibility,0,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain ."," The process is overpowering the erosion from sea-level rise, leading to net land-area gain.  ", There is a net land-area gain due to the process overpowering erosion from sea-level rise.,"Overpowers(a, b),  IsFrom(c, b),  LeadsTo(a, d)","IsDueTo(d, a),  Overpowers(a, b),  IsFrom(c, b)",[],"[(' The process', ' process'), (' the erosion', ' erosion'), (' sea-level rise', ' sea-level rise'), (' net land-area gain', ' Net land-area gain')]","[(' The process', ' erosion'), (' the erosion', ' process'), (' sea-level rise', ' process')]","Overpowers(a, b) and IsFrom(c, b) and LeadsTo(a, d)","IsDueTo(d, a) and Overpowers(a, b) and IsFrom(c, b)","(exists c (exists b (exists a (Overpowers(a, b) and IsFrom(c, b) and LeadsTo(a, d))))) -> (exists c (forall a (exists a (forall b (IsDueTo(d, a) and Overpowers(a, b) and IsFrom(c, b))))))","(exists a (exists c (exists d (exists b (Overpowers(a, b) and IsFrom(c, b) and LeadsTo(a, d)))))) -> (exists a (exists c (exists d (exists b (IsDueTo(d, a) and Overpowers(a, b) and IsFrom(c, b))))))",LF
13,false dilemma,0,"When it thaws and is released , that carbon may evaporate as methane , which is 34 times as powerful a greenhouse-gas warming blanket as carbon dioxide when judged on the timescale of a century ; when judged on the timescale of two decades , it is 86 times as powerful .", Carbon may evaporate as methane.  , Methane is more powerful than carbon dioxide as a greenhouse gas.,"EvaporatesAs(b, a)","IsMorePowerfulAsGreenhouseGas(a, c)",[],"[(' methane', ' Methane')]","[(' Carbon', ' carbon dioxide'), (' Carbon', ' greenhouse gas.'), (' methane', ' greenhouse gas.')]","EvaporatesAs(b, a)","IsMorePowerfulAsGreenhouseGas(a, c)","(exists b (EvaporatesAs(b, a))) -> (forall c (IsMorePowerfulAsGreenhouseGas(a, c)))","(exists a (exists b (EvaporatesAs(b, a)))) -> (exists a (exists c (IsMorePowerfulAsGreenhouseGas(a, c))))",LF
14,appeal to emotion,0,We are the envy of the world .," ""We are envied by the world.""  "," ""We are superior to the world.""",IsEnviedByTheWorld(a),IsSuperiorToTheWorld(a),[],"[(' We', ' We'), (' the world', ' the world')]",[],IsEnviedByTheWorld(a),IsSuperiorToTheWorld(a),(IsEnviedByTheWorld(a)) -> (IsSuperiorToTheWorld(a)),(exists a (IsEnviedByTheWorld(a))) -> (exists a (IsSuperiorToTheWorld(a))),LF
15,fallacy of credibility,0,"The new research suggests that the oceans hundreds of millions of years ago were much cooler than we thought . If true , that means that the global warming we are currently undergoing is unparallelled within the last 100 million years , and far worse than we had previously calculated .", The oceans hundreds of millions of years ago were much cooler than we thought., The global warming we are currently undergoing is unparalleled within the last 100 million years and far worse than previously calculated.,"WereCooler(b,c),  Thought(b,a)","IsGlobalWarming(d),  Undergoing(a, d),  IsUnparalleled(d, e),  IsWorse(d)",[],"[(' we', ' we')]",[],"WereCooler(b,c) and Thought(b,a)","IsGlobalWarming(d) and Undergoing(a, d) and IsUnparalleled(d, e) and IsWorse(d)","(WereCooler(b,c) and Thought(b,a)) -> (IsGlobalWarming(d) and Undergoing(a, d) and IsUnparalleled(d, e) and IsWorse(d))","(exists a (exists c (exists b (WereCooler(b,c) and Thought(b,a))))) -> (exists e (exists a (exists d (IsGlobalWarming(d) and Undergoing(a, d) and IsUnparalleled(d, e) and IsWorse(d)))))",LF
16,appeal to emotion,0,So it ’ s been a surprise to climate scientists that 2017 has been so remarkably warm — because the last El Niño ended a year ago ., 2017 has been remarkably warm despite the last El Niño ending a year ago.  , Climate scientists are surprised by the warmth of 2017.,"IsRemarkablyWarm(a),  EndedLastYear(b)","IsSurprisedBy(c, d),  IsWarm(d, a)","[('IsRemarkablyWarm(a)', '  IsWarm(d, a)')]","[(' 2017', ' 2017')]",[],IsRemarkablyWarm(a) and EndedLastYear(b),"IsSurprisedBy(c, d) and IsWarm(d, a)","(IsRemarkablyWarm(a) and EndedLastYear(b) & (forall a (forall d (IsRemarkablyWarm(a) ->   IsWarm(d, a))))) -> (IsSurprisedBy(c, d) and IsWarm(d, a))","(exists a (exists b (IsRemarkablyWarm(a) and EndedLastYear(b))) & (forall e (forall f (forall g (IsRemarkablyWarm(e) ->   IsWarm(f,g)))))) -> (exists a (exists c (exists d (IsSurprisedBy(c, d) and IsWarm(d, a)))))",LF
17,fallacy of extension,0,"Although the extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050 , the predicted 67-per-cent decline in polar bear numbers simply didn ’ t happen .", The predicted 67-per-cent decline in polar bear numbers did not happen.  , The extent of the summer sea ice dropping abruptly did not cause a decline in polar bear numbers.,"IsPredicted(b),  DidNotHappen(b)","IsDroppingAbruptly(c),  DidNotCauseDeclineInPolarBearNumbers(c)",[],"[(' polar bear numbers', ' polar bear numbers')]",[],IsPredicted(b) and DidNotHappen(b),IsDroppingAbruptly(c) and ~DidNotCauseDeclineInPolarBearNumbers(c),(IsPredicted(b) and DidNotHappen(b)) -> (IsDroppingAbruptly(c) and ~DidNotCauseDeclineInPolarBearNumbers(c)),(exists b (IsPredicted(b) and DidNotHappen(b))) -> (exists c (IsDroppingAbruptly(c) and ~DidNotCauseDeclineInPolarBearNumbers(c))),LF
18,ad populum,0,"Not only do polls suggest the public is unmoved at home and in abroad , serial exaggeration at this point is arguably backfiring , confirming the perils of climate exaggeration .", Polls suggest the public is unmoved at home and abroad., Serial exaggeration is backfiring and confirms the perils of climate exaggeration.,"SuggestsPolls(a),  IsUnmoved(b),  IsAtHome(c),  IsAbroad(d)","IsSerialExaggeration(e),  IsBackfiring(e),  ConfirmsPerils(e, f)","[('  IsAbroad(d)', '  ConfirmsPerils(e, f)')]",[],[],SuggestsPolls(a) and (IsUnmoved(b) and IsAtHome(c) and IsAbroad(d)),"IsSerialExaggeration(e) and IsBackfiring(e) and ConfirmsPerils(e, f)","(SuggestsPolls(a) and (IsUnmoved(b) and IsAtHome(c) and IsAbroad(d)) & (forall e (forall f (forall d (  IsAbroad(d) ->   ConfirmsPerils(e, f)))))) -> (IsSerialExaggeration(e) and IsBackfiring(e) and ConfirmsPerils(e, f))","(exists a (exists c (exists d (exists b (SuggestsPolls(a) and (IsUnmoved(b) and IsAtHome(c) and IsAbroad(d)))))) & (forall i (forall h (forall g (  IsAbroad(g) ->   ConfirmsPerils(h,i)))))) -> (exists e (exists f (IsSerialExaggeration(e) and IsBackfiring(e) and ConfirmsPerils(e, f))))",LF
19,ad hominem,0,Green activists are at war with the greatest American foe since the Axis Powers—or so they say ., Green activists are at war with the greatest American foe since the Axis Powers., Green activists consider themselves at war with a significant enemy.,"IsGreenActivist(a),  IsAtWarWith(a, b),  IsGreatestAmericanFoe(b),  SinceAxisPowers(c)","IsGreenActivist(a),  ConsidersAtWarWith(a, e),  IsSignificantEnemy(e)","[('  IsAtWarWith(a, b)', '  IsSignificantEnemy(e)'), ('  IsGreatestAmericanFoe(b)', '  IsSignificantEnemy(e)')]","[(' Green activists', ' Green activists')]",[],"IsGreenActivist(a) and IsAtWarWith(a, b) and IsGreatestAmericanFoe(b) and SinceAxisPowers(c)","IsGreenActivist(a) and ConsidersAtWarWith(a, e) and IsSignificantEnemy(e)","(IsGreenActivist(a) and IsAtWarWith(a, b) and IsGreatestAmericanFoe(b) and SinceAxisPowers(c) & (forall a (forall e (forall b (  IsAtWarWith(a, b) ->   IsSignificantEnemy(e))))) & (forall e (forall b (  IsGreatestAmericanFoe(b) ->   IsSignificantEnemy(e))))) -> (IsGreenActivist(a) and ConsidersAtWarWith(a, e) and IsSignificantEnemy(e))","(exists a (exists c (exists b (IsGreenActivist(a) and IsAtWarWith(a, b) and IsGreatestAmericanFoe(b) and SinceAxisPowers(c)))) & (forall h (forall f (forall g (  IsAtWarWith(f,g) ->   IsSignificantEnemy(h))))) & (forall i (forall j (  IsGreatestAmericanFoe(i) ->   IsSignificantEnemy(j))))) -> (exists a (exists e (IsGreenActivist(a) and ConsidersAtWarWith(a, e) and IsSignificantEnemy(e))))",LF
