,logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
10,intentional,0,"Ice core drilling shows that 800 years after natural warming , the atmosphere increases in carbon dioxide . The zenith of the Little Ice Age was 300 years ago and since then we have slightly warmed and cooled during a long-term warming trend . Instrumental temperature measurements over the past 150 years show no correlation between human emissions of CO2 and ­temperature . On all timescales it can be shown that there is no correlation between CO2 emissions and global warming ."," ""Ice core drilling shows that 800 years after natural warming, the atmosphere increases in carbon dioxide."""," ""There is no correlation between CO2 emissions and global warming on any timescale."""," Is800YearsAfter(a),  IsIncreasedInCarbonDioxide(d)"," IsNoCorrelation(e,f)",[],[],"[(' 800 years', ' timescale'), (' natural warming', ' global warming'), (' timescale', ' natural warming'), (' CO2 emissions', ' atmosphere'), (' carbon dioxide', ' CO2 emissions'), (' carbon dioxide', ' global warming')]",Is800YearsAfter(a) and IsIncreasedInCarbonDioxide(d),"IsNoCorrelation(e,f) and ~IsOnAnyTimescale(g)","(exists d (exists a (Is800YearsAfter(a) and IsIncreasedInCarbonDioxide(d)))) -> (forall f (forall e (forall g (IsNoCorrelation(e,f) and ~IsOnAnyTimescale(g)))))","(exists d (exists a (Is800YearsAfter(a) and IsIncreasedInCarbonDioxide(d)))) -> (exists e (exists g (exists f (IsNoCorrelation(e,f) and ~IsOnAnyTimescale(g)))))",LF
11,intentional,0,There is no proof the current rate of change in Antarctica will continue .," ""There is no proof the current rate of change in Antarctica will continue"""," ""The current rate of change in Antarctica will not continue""", IsCurrent(b), WillNotContinue(b),[],"[(' Antarctica', ' Antarctica'), (' current rate of change', ' current rate of change')]",[],~IsCurrent(a),~WillNotContinue(a),(~IsCurrent(a)) -> (~WillNotContinue(a)),(exists a (~IsCurrent(a))) -> (exists a (~WillNotContinue(a))),LF
12,fallacy of credibility,0,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain ."," ""Research shows that this process is overpowering the erosion from sea-level rise."""," ""Net land-area gain is occurring.""", IsResearched(a), IsOccurring(c),[],[],"[(' Net land-area gain', ''), (' occurring', '')]",IsResearched(a) and ~ErosionFromSeaLevelRise(a),IsOccurring(b),(forall a (IsResearched(a) and ~ErosionFromSeaLevelRise(a))) -> (exists b (IsOccurring(b))),(exists a (IsResearched(a) and ~ErosionFromSeaLevelRise(a))) -> (exists b (IsOccurring(b))),LF
13,false dilemma,0,"When it thaws and is released , that carbon may evaporate as methane , which is 34 times as powerful a greenhouse-gas warming blanket as carbon dioxide when judged on the timescale of a century ; when judged on the timescale of two decades , it is 86 times as powerful ."," ""Carbon may evaporate as methane."""," ""Methane is 34 times as powerful a greenhouse-gas warming blanket as carbon dioxide when judged on the timescale of a century.""", IsEvaporated(a)," IsAsPowerful(a,c),  IsJudgedOn(a,d)",[],"[(' methane', ' Methane')]","[(' Carbon', ' greenhouse-gas warming blanket'), (' methane', ' carbon dioxide'), (' methane', ' greenhouse-gas warming blanket')]",IsEvaporated(b),"IsAsPowerful(a,c) and IsJudgedOn(a,d)","(exists b (IsEvaporated(b))) -> (forall d (IsAsPowerful(a,c) and IsJudgedOn(a,d)))","(exists b (IsEvaporated(b))) -> (exists d (exists c (exists a (IsAsPowerful(a,c) and IsJudgedOn(a,d)))))",LF
14,appeal to emotion,0,We are the envy of the world .," ""Our country is the most powerful and prosperous."""," ""We are the envy of the world."""," IsPowerful(a),  IsProsperous(a)"," IsEnviousOf(b,c)",[],[],"[(' We', ' Our country')]",IsPowerful(a) and IsProsperous(a),"IsEnviousOf(b,c)","(forall a (IsPowerful(a) and IsProsperous(a))) -> (exists b (IsEnviousOf(b,c)))","(exists a (IsPowerful(a) and IsProsperous(a))) -> (exists c (exists b (IsEnviousOf(b,c))))",LF
15,fallacy of credibility,0,"The new research suggests that the oceans hundreds of millions of years ago were much cooler than we thought . If true , that means that the global warming we are currently undergoing is unparallelled within the last 100 million years , and far worse than we had previously calculated ."," ""The oceans were much cooler hundreds of millions of years ago."""," ""Global warming we are currently undergoing is unparalleled within the last 100 million years and far worse than we had previously calculated."""," IsCooler(a,b)"," IsUnparalleled(c,e),  IsWorseThanCalculated(d,f)",[],[],"[(' The oceans', ' previously calculated.'), (' last 100 million years', ' hundreds of millions of years ago'), (' hundreds of millions of years ago', ' previously calculated.')]","IsCooler(a,b)","IsUnparalleled(c,e) and IsWorseThanCalculated(d,f)","(forall b (exists a (IsCooler(a,b)))) -> (exists e (forall f (IsUnparalleled(c,e) and IsWorseThanCalculated(d,f))))","(exists b (exists a (IsCooler(a,b)))) -> (exists f (exists e (exists d (exists c (IsUnparalleled(c,e) and IsWorseThanCalculated(d,f))))))",LF
16,appeal to emotion,0,So it ’ s been a surprise to climate scientists that 2017 has been so remarkably warm — because the last El Niño ended a year ago .," ""2017 has been remarkably warm."""," ""Climate scientists were surprised by the warmth of 2017.""", IsRemarkablyWarm(a)," IsSurprisedBy(c,a)",[],"[(' 2017', ' 2017')]",[],IsRemarkablyWarm(b),"IsSurprisedBy(c,a)","(IsRemarkablyWarm(b)) -> (IsSurprisedBy(c,a))","(exists b (IsRemarkablyWarm(b))) -> (exists a (exists c (IsSurprisedBy(c,a))))",LF
17,fallacy of extension,0,"Although the extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050 , the predicted 67-per-cent decline in polar bear numbers simply didn ’ t happen ."," ""The summer sea ice dropped abruptly to levels not expected until 2050."""," ""The predicted 67-per-cent decline in polar bear numbers simply didn’t happen."""," IsDrop(a,b),  IsExpected(c)"," IsPredicted(d),  IsDeclined(e)",[],[],"[(' summer sea ice', ' 67-per-cent'), (' levels', ' 67-per-cent')]","IsDrop(a,b) and ~IsExpected(c)",~IsPredicted(d) or IsDeclined(e),"(exists b (exists a (IsDrop(a,b) and ~IsExpected(c)))) -> (forall d (~IsPredicted(d) or IsDeclined(e)))","(exists b (exists c (exists a (IsDrop(a,b) and ~IsExpected(c))))) -> (exists e (exists d (~IsPredicted(d) or IsDeclined(e))))",LF
18,ad populum,0,"Not only do polls suggest the public is unmoved at home and in abroad , serial exaggeration at this point is arguably backfiring , confirming the perils of climate exaggeration ."," ""Polls suggest the public is unmoved at home and abroad."""," ""Serial exaggeration is backfiring and confirming the perils of climate exaggeration."""," IsUnmoved(a),  IsAtHome(b),  IsAbroad(c)"," IsBackfiring(d),  IsConfirming(e)",[],[],"[(' Serial exaggeration', ' Public'), (' climate exaggeration', ' Public')]",IsUnmoved(a) and IsAtHome(b) or IsAbroad(c),IsBackfiring(d) and IsConfirming(e),(forall a (IsUnmoved(a) and IsAtHome(b) or IsAbroad(c))) -> (exists e (exists d (IsBackfiring(d) and IsConfirming(e)))),(exists b (exists c (exists a (IsUnmoved(a) and IsAtHome(b) or IsAbroad(c))))) -> (exists e (exists d (IsBackfiring(d) and IsConfirming(e)))),LF
19,ad hominem,0,Green activists are at war with the greatest American foe since the Axis Powers—or so they say .,,,,,[],[],[],,,() -> (),() -> (),
20,false dilemma,0,"Global warming is not even the obvious top environmental threat . Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide .", Global warming is not the top environmental threat.," Dirty water, dirty air, and insect-borne diseases are a greater problem than global warming. ", IsTopEnvironmentalThreat(a)," IsDirty(a),  IsInsectBorneDiseases(a),  IsGreaterThan(a)",[],"[(' Global warming', ''), (' environmental threat', '')]",[],~IsTopEnvironmentalThreat(a),IsDirty(a) and (IsInsectBorneDiseases(a) and IsGreaterThan(a)),(~IsTopEnvironmentalThreat(a)) -> (IsDirty(a) and (IsInsectBorneDiseases(a) and IsGreaterThan(a))),(exists a (~IsTopEnvironmentalThreat(a))) -> (exists a (IsDirty(a) and (IsInsectBorneDiseases(a) and IsGreaterThan(a)))),LF
21,ad hominem,0,"And for the media it ’ s ideology , money , and headlines ."," ""It is ideology for the media"""," ""The media prioritizes money and headlines""", IsIdeologyFor(b)," IsPrioritizes(b),  IsMoney(c)",[],"[(' It', ' headlines'), (' media', ' media')]","[(' It', ' media'), (' headlines', ' media')]",IsIdeologyFor(b),IsPrioritizes(b) and IsMoney(c),(IsIdeologyFor(b)) -> (IsPrioritizes(b) and IsMoney(c)),(exists b (IsIdeologyFor(b))) -> (exists c (exists b (IsPrioritizes(b) and IsMoney(c)))),LF
22,faulty generalization,0,"The Earth has experienced five mass extinctions before the one we are living through now , each so complete a slate-wiping of the evolutionary record it functioned as a resetting of the planetary clock , and many climate scientists will tell you they are the best analog for the ecological future we are diving headlong into ."," ""The Earth has experienced five mass extinctions."""," ""Many climate scientists believe the current ecological future is similar to the past mass extinctions.""", IsExperienced(a)," IsBelieved(c),  IsSimilarTo(d,a)",[],"[(' mass extinctions', ' mass extinctions')]","[(' Earth', ' current ecological future'), (' Earth', ' mass extinctions')]",IsExperienced(b),"IsBelieved(c) and (IsSimilarTo(d,a) or IsInThePast(a))","(exists b (IsExperienced(b))) -> (forall a (forall d (IsBelieved(c) and (IsSimilarTo(d,a) or IsInThePast(a)))))","(exists b (IsExperienced(b))) -> (exists d (exists a (exists c (IsBelieved(c) and (IsSimilarTo(d,a) or IsInThePast(a))))))",LF
23,intentional,0,"The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today ."," ""The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922."""," ""Fossil fuel emissions in 1913 and 1922 were negligible compared to today."""," IsInLibya(c),  WasRecordedIn1922(a)"," IsNegligible(d,e),  WasIn1913(e),  WasIn1922(a)",[],"[(' 1922', ' 1922')]",[],IsInLibya(c) and WasRecordedIn1922(a),"IsNegligible(d,e) and (WasIn1913(e) and WasIn1922(a))","(IsInLibya(c) and WasRecordedIn1922(a)) -> (IsNegligible(d,e) and (WasIn1913(e) and WasIn1922(a)))","(exists a (exists c (IsInLibya(c) and WasRecordedIn1922(a)))) -> (exists e (exists d (exists a (IsNegligible(d,e) and (WasIn1913(e) and WasIn1922(a))))))",LF
24,intentional,0,"In the very year they had forecast that the Arctic would be “ ice free ” , its thickness increased by a third . Polar bear numbers are rising , not falling . Temperatures in Greenland have shown no increase for decades ."," ""The Arctic was forecasted to be ice-free."""," ""Temperatures in Greenland have shown no increase for decades.""", IsIceFree(a), IsNoIncrease(b),[],[],[],IsIceFree(a),IsNoIncrease(c),(IsIceFree(a)) -> (IsNoIncrease(c)),(exists a (IsIceFree(a))) -> (exists c (IsNoIncrease(c))),LF
25,fallacy of extension,0,"Why , between 2009 and 2014 , did Defra spend a whopping £12.5 million on an ocean acidification research programme when the issue could have been resolved , for next to nothing , after a few hours ’ basic research ?", Defra spent £12.5 million on an ocean acidification research program between 2009 and 2014., The issue of ocean acidification could have been resolved for next to nothing after a few hours of basic research.," IsDefra(a),  IsBetween(c,d)"," IsIssueOfOceanAcidification(e),  IsNextToNothing(f),  IsBasicResearch(g)",[],[],"[(' ocean acidification research program', ' The issue of ocean acidification')]","IsDefra(a) and IsBetween(c,d)",IsIssueOfOceanAcidification(e) and (IsNextToNothing(f) and IsBasicResearch(g)),"(IsDefra(a) and IsBetween(c,d)) -> (IsIssueOfOceanAcidification(e) and (IsNextToNothing(f) and IsBasicResearch(g)))","(exists d (exists c (exists a (IsDefra(a) and IsBetween(c,d))))) -> (exists e (exists g (exists f (IsIssueOfOceanAcidification(e) and (IsNextToNothing(f) and IsBasicResearch(g))))))",LF
26,faulty generalization,0,"For decades , most scientists saw climate change as a distant prospect ."," ""Most scientists saw climate change as a distant prospect."""," ""Climate change is an urgent threat.""", IsDistant(a), IsUrgent(c),[],"[(' climate change', ' Climate change')]","[(' climate change', ' urgent threat')]",IsDistant(b),IsUrgent(a),(IsDistant(b)) -> (IsUrgent(a)),(exists b (IsDistant(b))) -> (exists a (IsUrgent(a))),LF
27,appeal to emotion,0,"If your anxiety about global warming is dominated by fears of sea-level rise , you are barely scratching the surface of what terrors are possible , even within the lifetime of a teenager today ."," ""Fears of sea-level rise are barely scratching the surface of what terrors are possible."""," ""A teenager today will experience many terrors due to global warming."""," IsFearfulOf(a),  ArePossible(b)"," IsExperiencing(c),  AreTerrors(c)",[],[],"[(' sea-level rise', ''), ('', ' terrors')]",IsFearfulOf(a) and ArePossible(b),IsExperiencing(c) and AreTerrors(c),(forall b (exists a (IsFearfulOf(a) and ArePossible(b)))) -> (forall c (IsExperiencing(c) and AreTerrors(c))),(exists b (exists a (IsFearfulOf(a) and ArePossible(b)))) -> (exists c (IsExperiencing(c) and AreTerrors(c))),LF
28,intentional,0,"Skeptics have long pointed to ice gain in the Southern Hemisphere as evidence climate change wasn ’ t occurring , but scientists warned that it was caused by natural variations and circulations in the atmosphere ."," ""Scientists warned that ice gain in the Southern Hemisphere was caused by natural variations and circulations in the atmosphere."""," ""Climate change isn't occurring."""," IsWarned(a),  IsCausedBy(b),  IsIn(c),  IsIn(d)"," IsClimateChange(e),  Isn'tOccurring(f)",[],[],"[(' ice gain', ' Climate change'), (' southern hemisphere', ' Climate change'), (' atmosphere', ' Climate change')]",IsWarned(a) and (IsCausedBy(b) and IsIn(c)),~IsClimateChange(e) and Isn'tOccurring(f),(exists c (exists b (IsWarned(a) and (IsCausedBy(b) and IsIn(c))))) -> (forall e (~IsClimateChange(e) and Isn'tOccurring(f))),(exists b (exists c (exists a (IsWarned(a) and (IsCausedBy(b) and IsIn(c)))))) -> (exists e (exists f (~IsClimateChange(e) and Isn'tOccurring(f)))),
29,intentional,0,"Furthermore , the overall increases in such things as hurricanes and tornadoes have not materialized . Drought in the western U.S. pales in comparison to the mega-droughts tree rings tell us existed in centuries past . Lake-bottom sediments in Florida tell us that recent major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past . Strong Sandy-type storms occur every year in all the major ocean basins… they just don ’ t happen to hit major metropolitan areas ."," ""The overall increases in hurricanes and tornadoes have not materialized."""," ""Major hurricane activity in the Gulf of Mexico has been less frequent than in centuries past."""," IsIncreased(a),  IsHurricane(b),  IsTornado(c)"," IsInMajorHurricaneActivity(d),  IsInGulfOfMexico(e),  IsInCenturiesPast(f)",[],[],"[(' Major hurricane activity', ' overall'), (' hurricanes', ' Major hurricane activity')]",~IsIncreased(a) and IsHurricane(b) and IsTornado(c),(IsInMajorHurricaneActivity(d) and IsInGulfOfMexico(e)) and IsInCenturiesPast(f),(exists b (forall a (~IsIncreased(a) and IsHurricane(b) and IsTornado(c)))) -> (forall d (exists d ((IsInMajorHurricaneActivity(d) and IsInGulfOfMexico(e)) and IsInCenturiesPast(f)))),(exists b (exists c (exists a (~IsIncreased(a) and IsHurricane(b) and IsTornado(c))))) -> (exists e (exists d (exists f ((IsInMajorHurricaneActivity(d) and IsInGulfOfMexico(e)) and IsInCenturiesPast(f))))),
30,ad hominem,0,Should we trust these computer models of doom ?," ""Computer models of doom are just simulations"""," ""We should not trust these computer models of doom""", IsSimulation(c)," IsTrusted(d,a)",[],"[(' doom', ' doom')]","[(' These computer models', ' Computer models'), (' These computer models', ' simulations')]",~IsDoom(a) and IsSimulation(c),"~IsTrusted(d,a)","(forall c (~IsDoom(a) and IsSimulation(c))) -> (exists d (~IsTrusted(d,a)))","(exists c (exists a (~IsDoom(a) and IsSimulation(c)))) -> (exists d (exists a (~IsTrusted(d,a))))",LF
31,false causality,0,"The rise in Arctic temperatures is probably also tied to a sudden warming of the stratosphere , the atmospheric layer about 30,000 feet high — above where most weather happens — that occurred several weeks ago , Moore said ."," ""The rise in Arctic temperatures is probably tied to a sudden warming of the stratosphere."""," ""The warming of the stratosphere occurred several weeks ago.""", IsWarming(a)," IsOccurred(a,c)",[],"[(' stratosphere', ' stratosphere')]",[],IsWarming(a),"IsOccurred(a,c)","(IsWarming(a)) -> (IsOccurred(a,c))","(exists a (IsWarming(a))) -> (exists c (exists a (IsOccurred(a,c))))",LF
32,false dilemma,0,The World Coal Association disputed the conclusion that stopping global warming calls for an end of coal use ., The World Coal Association disputed the conclusion. Implication: , The World Coal Association disputed the conclusion. Implication: , IsDisputed(b), IsDisputed(b),[],"[(' The World Coal Association', ' The World Coal Association'), (' conclusion', ' conclusion')]",[], a and ~b,and IsDisputed(a),( a and ~b) -> (and IsDisputed(a)),(exists b (exists a ( a and ~b))) -> (exists a (and IsDisputed(a))),
33,fallacy of logic,0,The problem with this ploy is that carbon dioxide is not a pollutant and it is dishonest to say it is .," ""Carbon dioxide is not a pollutant."""," ""It is dishonest to say it is.""", IsNotAPollutant(a), IsDishonest(d),[],[],[],~IsAPollutant(b),~IsDishonest(e),(~IsAPollutant(b)) -> (~IsDishonest(e)),(exists b (~IsAPollutant(b))) -> (exists e (~IsDishonest(e))),LF
34,appeal to emotion,0,"“ It ’ s sobering to think of this magnificent landscape and how fundamentally it can change over a relatively short time period , ” he added ."," ""The ice sheet is melting at an alarming rate."""," ""The entire ecosystem is affected."""," IsMelting(a),  IsAlarming(b)", IsAffected(c),[],[],[],IsMelting(a) and IsAlarming(b),IsAffected(c),(IsMelting(a) and IsAlarming(b)) -> (IsAffected(c)),(exists b (exists a (IsMelting(a) and IsAlarming(b)))) -> (exists c (IsAffected(c))),LF
35,fallacy of credibility,0,"NASA honored him for this achievement , and he was an author for a previous edition of the U.N. report . He told a House Science Committee hearing in March 2017 that the U.N. climate models have failed badly . Christy compared the average model projections since 1979 to the most reliable observations — those made by satellites and weather balloons over the vast tropics ."," ""NASA honored him for this achievement."""," ""He told a House Science Committee hearing in March 2017 that the U.N. climate models have failed badly.""", IsHonoredByNASA(c)," IsTold(a),  IsInHouseScienceCommittee(d),  IsInMarch2017(e),  AreFailed(f)",[],"[(' achievement', ' He')]","[(' him', ' He'), (' March 2017', ' him'), (' March 2017', ' achievement')]",IsHonoredByNASA(c),IsTold(a) and (IsInHouseScienceCommittee(d) and IsInMarch2017(e)) and AreFailed(f),(forall c (exists c (IsHonoredByNASA(c)))) -> (exists e (forall a (IsTold(a) and (IsInHouseScienceCommittee(d) and IsInMarch2017(e)) and AreFailed(f)))),(exists c (IsHonoredByNASA(c))) -> (exists f (exists e (exists d (exists a (IsTold(a) and (IsInHouseScienceCommittee(d) and IsInMarch2017(e)) and AreFailed(f)))))),LF
36,appeal to emotion,0,"The 2009 Black Saturday bushfires , which claimed the lives of 173 Australians , are etched into the national consciousness . But in the heatwave that led up to the fires , the number of deaths soared ."," ""The 2009 Black Saturday bushfires claimed the lives of 173 Australians."""," ""The number of deaths soared in the heatwave leading up to the fires."""," IsIn2009(a),  IsOnBlackSaturday(b),  IsAnAustralian(c)"," IsInHeatwave(e),  IsDead(e)",[],[],"[(' deaths', ' Black Saturday'), (' The number', ' Australians'), (' deaths', ' Australians')]",IsIn2009(a) and IsOnBlackSaturday(b) and IsAnAustralian(c),IsInHeatwave(e) and IsDead(e),(forall c (forall b (IsIn2009(a) and IsOnBlackSaturday(b) and IsAnAustralian(c)))) -> (exists e (IsInHeatwave(e) and IsDead(e))),(exists b (exists c (exists a (IsIn2009(a) and IsOnBlackSaturday(b) and IsAnAustralian(c))))) -> (exists e (IsInHeatwave(e) and IsDead(e))),LF
37,fallacy of credibility,0,Anew study produced by a University of Wisconsin-Madison geoscientist and Northwestern astrophysicist presents an explanation of the fluctuations of the earth 's temperatures that global warming alarmists are going to make sure to bury :," ""The Earth's climate is naturally cyclical."""," ""Global warming alarmists are going to bury the study.""", IsNaturallyCyclical(b)," IsGoingToBury(e),  IsStudy(f)",[],[],"[(' climate', ' Global warming alarmists'), (' naturally', ' Global warming alarmists'), (' study', ' cyclical.')]", d,IsGoingToBury(e) and ~IsStudy(f),(forall d ( d)) -> (exists f (IsGoingToBury(e) and ~IsStudy(f))),(exists d ( d)) -> (exists e (exists f (IsGoingToBury(e) and ~IsStudy(f)))),
