logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
intentional,0,"Ice core drilling shows that 800 years after natural warming , the atmosphere increases in carbon dioxide . The zenith of the Little Ice Age was 300 years ago and since then we have slightly warmed and cooled during a long-term warming trend . Instrumental temperature measurements over the past 150 years show no correlation between human emissions of CO2 and ­temperature . On all timescales it can be shown that there is no correlation between CO2 emissions and global warming ."," ""Ice core drilling shows that the atmosphere increases in carbon dioxide 800 years after natural warming.""  "," ""There is no correlation between CO2 emissions and global warming.""","ShowsIncrease(b,c),  OccursAfter(c,d)","IsNoCorrelation(e, f)",[],[],"[(' carbon dioxide', ' CO2 emissions')]","ShowsIncrease(b,c) and OccursAfter(c,d)","IsNoCorrelation(e, f)","(exists c (ShowsIncrease(b,c) and OccursAfter(c,d))) -> (forall e (IsNoCorrelation(e, f)))","(exists c (exists d (exists b (ShowsIncrease(b,c) and OccursAfter(c,d))))) -> (exists e (exists f (IsNoCorrelation(e, f))))"
intentional,0,There is no proof the current rate of change in Antarctica will continue .," ""There is no proof the current rate of change in Antarctica will continue.""  "," ""The current rate of change in Antarctica may not continue.""","IsCurrentRateOfChange(a),  WillContinue(a)","IsCurrentRateOfChange(a),  MayNotContinue(a)",[],"[(' the current rate of change', ' The current rate of change'), (' Antarctica', ' Antarctica')]",[],~IsCurrentRateOfChange(a) or ~WillContinue(a),IsCurrentRateOfChange(a) and ~MayNotContinue(a),(~IsCurrentRateOfChange(a) or ~WillContinue(a)) -> (IsCurrentRateOfChange(a) and ~MayNotContinue(a)),(exists a (~IsCurrentRateOfChange(a) or ~WillContinue(a))) -> (exists a (IsCurrentRateOfChange(a) and ~MayNotContinue(a)))
fallacy of credibility,0,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain ."," ""This process is overpowering the erosion from sea-level rise.""  "," ""There is a net land-area gain.""","IsOverpowering(a, b),  IsFrom(b, c)",IsNetLandAreaGain(d),[],[],[],"IsOverpowering(a, b) and IsFrom(b, c)",IsNetLandAreaGain(d),"(IsOverpowering(a, b) and IsFrom(b, c)) -> (IsNetLandAreaGain(d))","(exists c (exists b (exists a (IsOverpowering(a, b) and IsFrom(b, c))))) -> (exists d (IsNetLandAreaGain(d)))"
false dilemma,0,"When it thaws and is released , that carbon may evaporate as methane , which is 34 times as powerful a greenhouse-gas warming blanket as carbon dioxide when judged on the timescale of a century ; when judged on the timescale of two decades , it is 86 times as powerful ."," ""Carbon may evaporate as methane.""  "," ""Methane is a powerful greenhouse-gas warming blanket.""","EvaporatesAs(b, a)","IsGreenhouseGas(c),  IsPowerful(c)",[],"[(' methane', ' Methane')]","[(' methane', ' greenhouse-gas warming blanket')]","EvaporatesAs(b, a)",IsGreenhouseGas(c) and IsPowerful(c),"(exists a (EvaporatesAs(b, a))) -> (forall c (IsGreenhouseGas(c) and IsPowerful(c)))","(exists b (exists a (EvaporatesAs(b, a)))) -> (exists c (IsGreenhouseGas(c) and IsPowerful(c)))"
appeal to emotion,0,We are the envy of the world .," ""We are the envy of the world.""  "," ""The world envies us.""","IsEnvyOf(a, b)","IsEnviedBy(b, a)",[],"[(' We', ' us'), (' the world', ' The world')]","[(' the world', ' us')]","IsEnvyOf(a, b)","IsEnviedBy(b, a)","(exists b (IsEnvyOf(a, b))) -> (exists b (forall a (IsEnviedBy(b, a))))","(exists b (exists a (IsEnvyOf(a, b)))) -> (exists b (exists a (IsEnviedBy(b, a))))"
fallacy of credibility,0,"The new research suggests that the oceans hundreds of millions of years ago were much cooler than we thought . If true , that means that the global warming we are currently undergoing is unparallelled within the last 100 million years , and far worse than we had previously calculated ."," ""The oceans hundreds of millions of years ago were much cooler than previously thought.""  "," ""The global warming currently being undergone is unparalleled within the last 100 million years.""","WasCooler(a, b)","IsUnparalleled(c, d)",[],[],[],"WasCooler(a, b)","IsUnparalleled(c, d)","(WasCooler(a, b)) -> (IsUnparalleled(c, d))","(exists b (exists a (WasCooler(a, b)))) -> (exists c (exists d (IsUnparalleled(c, d))))"
appeal to emotion,0,So it ’ s been a surprise to climate scientists that 2017 has been so remarkably warm — because the last El Niño ended a year ago .," ""2017 has been remarkably warm.""  "," ""2017's warmth surprises climate scientists.""",IsWarm(a),"IsWarm(b),  Surprises(c, b)",[],[],[],IsWarm(a),"IsWarm(b) and Surprises(c, b)","(IsWarm(a)) -> (IsWarm(b) and Surprises(c, b))","(exists a (IsWarm(a))) -> (exists c (exists b (IsWarm(b) and Surprises(c, b))))"
fallacy of extension,0,"Although the extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050 , the predicted 67-per-cent decline in polar bear numbers simply didn ’ t happen .", The extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050.  , The predicted 67-per-cent decline in polar bear numbers did not happen.,"IsAfter(a,b),  IsDropped(a),  IsNotExpectedUntil(c,d)","IsPredicted(e),  IsDeclined(f),  DidNotHappen(e)",[],[],[],"IsAfter(a,b) and IsDropped(a) and IsNotExpectedUntil(c,d)",IsPredicted(e) and IsDeclined(f) and DidNotHappen(e),"(IsAfter(a,b) and IsDropped(a) and IsNotExpectedUntil(c,d)) -> (IsPredicted(e) and IsDeclined(f) and DidNotHappen(e))","(exists c (exists d (exists b (exists a (IsAfter(a,b) and IsDropped(a) and IsNotExpectedUntil(c,d)))))) -> (exists e (exists f (IsPredicted(e) and IsDeclined(f) and DidNotHappen(e))))"
ad populum,0,"Not only do polls suggest the public is unmoved at home and in abroad , serial exaggeration at this point is arguably backfiring , confirming the perils of climate exaggeration ."," ""Polls suggest the public is unmoved at home and abroad.""  "," ""Serial exaggeration is backfiring.""","IsUnmoved(a),  IsAtHome(a),  IsAbroad(a)",IsBackfiring(d),[],[],[],IsUnmoved(a) and (IsAtHome(a) and IsAbroad(a)),IsBackfiring(d),(IsUnmoved(a) and (IsAtHome(a) and IsAbroad(a))) -> (IsBackfiring(d)),(exists a (IsUnmoved(a) and (IsAtHome(a) and IsAbroad(a)))) -> (exists d (IsBackfiring(d)))
ad hominem,0,Green activists are at war with the greatest American foe since the Axis Powers—or so they say .," ""Green activists are at war with the greatest American foe since the Axis Powers.""  "," ""Green activists are exaggerating.""","AtWar(a, b),  IsGreatestAmericanFoe(b, c)",Exaggerates(a),[],"[(' Green activists', ' Green activists')]",[],"AtWar(a, b) and IsGreatestAmericanFoe(b, c)",Exaggerates(a),"(AtWar(a, b) and IsGreatestAmericanFoe(b, c)) -> (Exaggerates(a))","(exists c (exists b (exists a (AtWar(a, b) and IsGreatestAmericanFoe(b, c))))) -> (exists a (Exaggerates(a)))"
false dilemma,0,"Global warming is not even the obvious top environmental threat . Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide ."," ""Dirty water, dirty air, and insect-borne diseases are a far greater problem today for most people world-wide.""  "," ""Global warming is not the top environmental threat.""","IsDirty(a),  IsDirty(b),  Causes(c, d),  IsProblem(c, e)","IsGlobalWarming(f),  IsTopEnvironmentalThreat(g)",[],[],[],"(IsDirty(a) and IsDirty(b) and Causes(c, d)) and IsProblem(c, e)",~IsTopEnvironmentalThreat(g) and IsGlobalWarming(f),"((IsDirty(a) and IsDirty(b) and Causes(c, d)) and IsProblem(c, e)) -> (~IsTopEnvironmentalThreat(g) and IsGlobalWarming(f))","(exists d (exists a (exists c (exists e (exists b ((IsDirty(a) and IsDirty(b) and Causes(c, d)) and IsProblem(c, e))))))) -> (exists f (exists g (~IsTopEnvironmentalThreat(g) and IsGlobalWarming(f))))"
ad hominem,0,"And for the media it ’ s ideology , money , and headlines ."," ""The media's ideology is money and headlines.""  "," ""The media prioritizes ideology, money, and headlines.""","IsIdeologyOf(c, a),  IsIdeologyOf(c, b)","Prioritizes(d, e),  Prioritizes(d, a),  Prioritizes(d, b)",[],"[(' money', ' money'), (' headlines', ' headlines')]","[("" The media's ideology"", ' The media'), ("" The media's ideology"", ' ideology')]","IsIdeologyOf(c, a) and IsIdeologyOf(c, b)","Prioritizes(d, e) and Prioritizes(d, a) and Prioritizes(d, b)","(exists c (IsIdeologyOf(c, a) and IsIdeologyOf(c, b))) -> (forall e (forall d (Prioritizes(d, e) and Prioritizes(d, a) and Prioritizes(d, b))))","(exists c (exists b (exists a (IsIdeologyOf(c, a) and IsIdeologyOf(c, b))))) -> (exists e (exists d (exists b (exists a (Prioritizes(d, e) and Prioritizes(d, a) and Prioritizes(d, b))))))"
faulty generalization,0,"The Earth has experienced five mass extinctions before the one we are living through now , each so complete a slate-wiping of the evolutionary record it functioned as a resetting of the planetary clock , and many climate scientists will tell you they are the best analog for the ecological future we are diving headlong into ."," ""The Earth has experienced five mass extinctions.""  "," ""The current ecological future is similar to past mass extinctions.""  ","IsTheEarth(a),  HasExperienced(b)","IsCurrentEcologicalFuture(c),  IsSimilarTo(c, d)",[],[],"[(' five mass extinctions', ' past mass extinctions')]",IsTheEarth(a) and HasExperienced(b),"IsCurrentEcologicalFuture(c) and IsSimilarTo(c, d)","(exists b (IsTheEarth(a) and HasExperienced(b))) -> (forall d (IsCurrentEcologicalFuture(c) and IsSimilarTo(c, d)))","(exists b (exists a (IsTheEarth(a) and HasExperienced(b)))) -> (exists c (exists d (IsCurrentEcologicalFuture(c) and IsSimilarTo(c, d))))"
intentional,0,"The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today ."," ""The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922.""  "," ""Fossil fuel emissions in 1913 and 1922 are not a significant factor for current high temperatures.""","IsHighest(b),  WasReportedAs(c,b),  IsIn(d),  IsInYear(a)","IsEmitted(e),  IsInYear(f),  IsInYear(a),  IsSignificantFactor(e, g)","[('  IsInYear(a)', '  WasReportedAs(c,b)')]","[(' 1922', ' 1922')]",[],"IsHighest(b) and WasReportedAs(c,b) and IsIn(d) and IsInYear(a)","~IsSignificantFactor(e, g) and IsInYear(f) and IsInYear(a) and IsEmitted(e)","(IsHighest(b) and WasReportedAs(c,b) and IsIn(d) and IsInYear(a) & (forall c (forall b (forall a (  IsInYear(a) ->   WasReportedAs(c,b)))))) -> (~IsSignificantFactor(e, g) and IsInYear(f) and IsInYear(a) and IsEmitted(e))","(exists c (exists d (exists b (exists a (IsHighest(b) and WasReportedAs(c,b) and IsIn(d) and IsInYear(a))))) & (forall h (forall j (forall i (  IsInYear(h) ->   WasReportedAs(i,j)))))) -> (exists e (exists f (exists a (exists g (~IsSignificantFactor(e, g) and IsInYear(f) and IsInYear(a) and IsEmitted(e))))))"
intentional,0,"In the very year they had forecast that the Arctic would be “ ice free ” , its thickness increased by a third . Polar bear numbers are rising , not falling . Temperatures in Greenland have shown no increase for decades ."," ""The Arctic's thickness increased by a third.""  "," ""The Arctic will not be ice free.""","IsInArctic(a),  HasIncreasedThickness(b)","IsInArctic(a),  IsNotIceFree(a)","[('  HasIncreasedThickness(b)', '  IsNotIceFree(a)')]","[(' The Arctic', ' The Arctic')]",[],IsInArctic(a) and HasIncreasedThickness(b),IsInArctic(a) and ~IsNotIceFree(a),(IsInArctic(a) and HasIncreasedThickness(b) & (forall b (forall a (  HasIncreasedThickness(b) ->   IsNotIceFree(a))))) -> (IsInArctic(a) and ~IsNotIceFree(a)),(exists b (exists a (IsInArctic(a) and HasIncreasedThickness(b))) & (forall c (forall d (  HasIncreasedThickness(c) ->   IsNotIceFree(d))))) -> (exists a (IsInArctic(a) and ~IsNotIceFree(a)))
fallacy of extension,0,"Why , between 2009 and 2014 , did Defra spend a whopping £12.5 million on an ocean acidification research programme when the issue could have been resolved , for next to nothing , after a few hours ’ basic research ?"," ""Defra spent £12.5 million on an ocean acidification research programme between 2009 and 2014.""  "," ""The issue could have been resolved after basic research.""","Spent(a, b, c),  IsInTimeFrame(c, d, e)","IsResolved(f),  IsBasedOn(g)",[],[],"[(' ocean acidification research programme', ' basic research')]","Spent(a, b, c) and IsInTimeFrame(c, d, e)",IsBasedOn(g) and IsResolved(f),"(exists c (Spent(a, b, c) and IsInTimeFrame(c, d, e))) -> (forall g (IsBasedOn(g) and IsResolved(f)))","(exists d (exists a (exists c (exists e (exists b (Spent(a, b, c) and IsInTimeFrame(c, d, e))))))) -> (exists f (exists g (IsBasedOn(g) and IsResolved(f))))"
faulty generalization,0,"For decades , most scientists saw climate change as a distant prospect ."," ""Most scientists saw climate change as a distant prospect for decades.""  "," ""Climate change is a distant prospect.""","SeesAsDistant(c, a),  IsProspectOf(a, b),  IsFor(c, d)","IsDistant(b),  IsProspectOf(a, b)",[],"[(' climate change', ' Climate change'), (' prospect', ' prospect')]",[],"SeesAsDistant(c, a) and IsProspectOf(a, b) and IsFor(c, d)","IsProspectOf(a, b) and IsDistant(b)","(SeesAsDistant(c, a) and IsProspectOf(a, b) and IsFor(c, d)) -> (IsProspectOf(a, b) and IsDistant(b))","(exists c (exists d (exists b (exists a (SeesAsDistant(c, a) and IsProspectOf(a, b) and IsFor(c, d)))))) -> (exists b (exists a (IsProspectOf(a, b) and IsDistant(b))))"
