label,updated_label,articles,Logical Form,Logical Form 2
1,,"Coach talks with football player, other players and crowd in background. Thus, a football coach talks with his player in front of the team and the crowd.","(exists a (IsTalkWith(a,b)) & (forall b (forall a (forall c ( IsTalkWith(a,b) ->   IsInFrontOfTeam(c)))))) -> (forall c (IsTalkWith(a,b) and IsInFrontOfTeam(c) and IsInCrowd(c)))","(exists b (exists a (IsTalkWith(a,b))) & (forall f (forall e (forall d ( IsTalkWith(d,e) ->   IsInFrontOfTeam(f)))))) -> (exists b (exists a (exists c (IsTalkWith(a,b) and IsInFrontOfTeam(c) and IsInCrowd(c)))))"
1,,"Two men watching one man make a golf putt on the set of Sports Center. As a consequence, people watching sports.","(exists c (IsWatched(a,b) and IsOnSportsCenter(c)) & (forall f (forall e (forall c (  IsOnSportsCenter(c) ->  IsWatched(e,f)))))) -> (forall f (IsWatched(e,f)))","(exists b (exists a (exists c (IsWatched(a,b) and IsOnSportsCenter(c)))) & (forall g (forall h (forall i (  IsOnSportsCenter(g) ->  IsWatched(h,i)))))) -> (exists f (exists e (IsWatched(e,f))))"
1,,"Six women wait to use a port-o-john in a field. Thus, women are outside.",(exists b (IsOutside(b)) & (forall a (forall c ( IsOutside(a) ->  IsWaitingToUse(c))))) -> (forall e (IsWaitingToUse(c) and IsInField(e))),(exists b (IsOutside(b)) & (forall g (forall f ( IsOutside(f) ->  IsWaitingToUse(g))))) -> (exists e (exists c (IsWaitingToUse(c) and IsInField(e))))
1,,Women wearing a black top and glasses speaking into a blue tipped microphone with another woman beside her writing. It follows that one woman speaking into a microphone while a second woman writes beside her.,(exists a ((IsWearingBlackTop(c) and IsSpeakingIntoBlueTippedMicrophone(e)) and IsBesideHer(a)) & (forall g (forall e (  IsSpeakingIntoBlueTippedMicrophone(e) ->  IsSpeakingIntoMicrophone(g))))) -> (forall h (forall g (IsSpeakingIntoMicrophone(g) and IsBesideHer(h)))),(exists e (exists a (exists c ((IsWearingBlackTop(c) and IsSpeakingIntoBlueTippedMicrophone(e)) and IsBesideHer(a)))) & (forall k (forall j (  IsSpeakingIntoBlueTippedMicrophone(j) ->  IsSpeakingIntoMicrophone(k))))) -> (exists g (exists h (IsSpeakingIntoMicrophone(g) and IsBesideHer(h))))
1,,"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground. Therefore, a tan girl runs leans over an object.",(forall b (IsTan(a) and Runs(a) and LeansOver(b))) -> (exists e (IsInWoolHat(d) and SitsOnGround(e))),(exists b (exists a (IsTan(a) and Runs(a) and LeansOver(b)))) -> (exists e (exists d (IsInWoolHat(d) and SitsOnGround(e))))
1,,A scientist studies a slide in order to work on her new creation. It follows that a scientist studies a slide that is related to her invention.,"(exists b (IsStudies(a,b))) -> (forall c (IsRelatedTo(a,c) and IsStudies(a,b)))","(exists b (exists a (IsStudies(a,b)))) -> (exists b (exists a (exists c (IsRelatedTo(a,c) and IsStudies(a,b)))))"
1,,"A red dog jumps and catches a tennis ball in its mouth. Consequently, a dog catching a ball.",(IsRed(a) and Jumps(b) and IsCaughtInMouth(c) & (forall e (forall b (  Jumps(b) ->   IsBall(e))))) -> (IsCaught(d) and IsBall(e)),(exists b (exists a (exists c (IsRed(a) and Jumps(b) and IsCaughtInMouth(c)))) & (forall g (forall f (  Jumps(f) ->   IsBall(g))))) -> (exists e (exists d (IsCaught(d) and IsBall(e))))
1,,"A group of dogs stand in the snow. Thus, there are animals outdoors.","(exists a (IsStandingIn(a,b)) & (forall b (forall a (forall c ( IsStandingIn(a,b) ->  IsOutdoors(c)))))) -> (forall c (IsOutdoors(c)))","(exists b (exists a (IsStandingIn(a,b))) & (forall f (forall e (forall d ( IsStandingIn(d,e) ->  IsOutdoors(f)))))) -> (exists c (IsOutdoors(c)))"
1,,This person looks to be snowboarding on a very small pile of snow on a sunny cold day. This implies that young snowboarder sizing up their next jump.,(forall a (IsSnowboarding(a) and IsOnSmallPileOfSnow(c)) & (forall e (forall a ( IsSnowboarding(a) ->   IsYoungSnowboarder(e)))) & (forall e (forall a (  IsYoungSnowboarder(e) ->  IsSnowboarding(a))))) -> (exists e (IsYou(d) and IsYoungSnowboarder(e) and IsSizingUp(f))),(exists a (exists c (IsSnowboarding(a) and IsOnSmallPileOfSnow(c))) & (forall g (forall h ( IsSnowboarding(g) ->   IsYoungSnowboarder(h)))) & (forall j (forall i (  IsYoungSnowboarder(i) ->  IsSnowboarding(j))))) -> (exists f (exists e (exists d (IsYou(d) and IsYoungSnowboarder(e) and IsSizingUp(f)))))
1,,"A large number of people are watching men dressed in kilts, one of whom has thrown a long pole. As a consequence, people watch men in kilts.",(exists b (exists a (IsWatching(a) and AreInKilts(b)))) -> (forall e (forall c (IsWatching(c) and ThrowsLongPole(e)))),(exists b (exists a (IsWatching(a) and AreInKilts(b)))) -> (exists e (exists c (IsWatching(c) and ThrowsLongPole(e))))
