,label,updated_label,articles,Logical Form,Logical Form 2,result
10,1,,A white and black dog catching a Frisbee. It follows that the dog is playing with a toy thrown by a person.,"(forall a (IsCaught(a,b))) -> (exists c (IsPlaying(c) and (Threw(d,e) and IsTheSamePerson(d,e))))","(exists a (IsCaught(a,b))) -> (exists c (IsPlaying(c) and (Threw(d,e) and IsTheSamePerson(d,e))))",LF
11,1,,"A firefighter is putting wooden blocks under a crushed blue car. Therefore, the firefighter is putting something under the car.","(forall c (IsPutting(a,c) and IsUnder(b))) -> (exists d (exists a (IsPutting(a,d) and IsUnder(b))))","(exists c (IsPutting(a,c) and IsUnder(b))) -> (exists d (exists a (IsPutting(a,d) and IsUnder(b))))",Valid
12,1,,"Hispanic woman wearing a red plaid shirt works on sewing an article of clothing. As a consequence, woman wearing a shirt sewing.",(forall c (exists b (IsHispanic(a) and IsWearingRedPlaidShirt(b) and WorksOnSewing(c)))) -> (exists f (forall e (IsWearing(e) and IsSewing(f)))) and (forall (e) forall (b)   IsWearingRedPlaidShirt(b) ->  IsWearing(e)) and (forall (e) forall (b)  IsWearing(e) ->   IsWearingRedPlaidShirt(b)) and (forall (f) forall (c)   WorksOnSewing(c) ->   IsSewing(f)) and (forall (f) forall (c)   IsSewing(f) ->   WorksOnSewing(c)),(exists c (exists b (IsHispanic(a) and IsWearingRedPlaidShirt(b) and WorksOnSewing(c)))) -> (exists f (exists e (IsWearing(e) and IsSewing(f)))) and (forall e (forall b (  IsWearingRedPlaidShirt(b) ->  IsWearing(e)))) and (forall e (forall b ( IsWearing(e) ->   IsWearingRedPlaidShirt(b)))) and (forall f (forall c (  WorksOnSewing(c) ->   IsSewing(f)))) and (forall f (forall c (  IsSewing(f) ->   WorksOnSewing(c)))),LF
13,1,,"A group of people walking down the street with one on the phone in a green hat. Thus, people are outside.",(forall b (IsOutside(b))) -> (exists d (exists c (IsOnPhone(c) and IsWearingGreenHat(d)))),(exists b (IsOutside(b))) -> (exists d (exists c (IsOnPhone(c) and IsWearingGreenHat(d)))),LF
14,1,,Six children run towards a soccer ball on an athletic field. It follows that children run towards a soccer ball.,"(exists b (IsRunTowards(b,a))) -> (forall c (IsRunTowards(c,a)))","(exists b (IsRunTowards(b,a))) -> (exists c (IsRunTowards(c,a)))",Valid
15,1,,"A man with no shirt and purple pants crouches while tampering with a metallic object. Consequently, shirtless man tampers with metal thing.",(forall b (IsNoShirt(a) and IsTampering(b))) -> (exists d (IsTampering(d))) and (forall (d) forall (b)   IsTampering(b) ->  IsTampering(d)) and (forall (d) forall (b)  IsTampering(d) ->   IsTampering(b)),(exists b (IsNoShirt(a) and IsTampering(b))) -> (exists d (IsTampering(d))) and (forall d (forall b (  IsTampering(b) ->  IsTampering(d)))) and (forall d (forall b ( IsTampering(d) ->   IsTampering(b)))),LF
16,1,,A smiling girl in glasses and a blue-gray scarf with a smiling girl in a black coat leaning on her shoulder. This implies that the girls are smiling.,(exists c (exists a (IsInGlasses(a) and (HasBlueGrayScarf(b) and Smiles(c))))) -> (forall d (IsSmiling(d))) and (forall (d) forall (c)   Smiles(c) ->  IsSmiling(d)) and (forall (d) forall (c)  IsSmiling(d) ->   Smiles(c)),(exists c (exists a (IsInGlasses(a) and (HasBlueGrayScarf(b) and Smiles(c))))) -> (exists d (IsSmiling(d))) and (forall d (forall c (  Smiles(c) ->  IsSmiling(d)))) and (forall d (forall c ( IsSmiling(d) ->   Smiles(c)))),LF
17,1,,"A man in a yellow tie is rubbing the back of his neck. Hence, a man is rubbing his neck.",(forall b (IsRubbing(b))) -> (exists d (IsInYellowTie(c) and IsRubbing(d))) and (forall (d) forall (b)  IsRubbing(b) ->   IsRubbing(d)) and (forall (d) forall (b)   IsRubbing(d) ->  IsRubbing(b)),(exists b (IsRubbing(b))) -> (exists d (IsInYellowTie(c) and IsRubbing(d))) and (forall d (forall b ( IsRubbing(b) ->   IsRubbing(d)))) and (forall d (forall b (  IsRubbing(d) ->  IsRubbing(b)))),LF
18,1,,"A baseball player gets ready to catch a fly ball near the outfield fence. Therefore, a person is playing baseball outdoors.",(forall a (IsGettingReady(a) and (IsABaseballPlayer(a) and IsCatchingFlyBall(a) and IsNearOutfieldFence(a)))) -> (exists c (IsPlayingBaseball(a) and IsOutdoors(c))) and (forall (a)  IsABaseballPlayer(a) ->  IsPlayingBaseball(a)) and (forall (a)  IsPlayingBaseball(a) ->  IsABaseballPlayer(a)) and (forall (a)   IsNearOutfieldFence(a) ->   IsOutdoors(a)),(exists a (IsGettingReady(a) and (IsABaseballPlayer(a) and IsCatchingFlyBall(a) and IsNearOutfieldFence(a)))) -> (exists c (IsPlayingBaseball(a) and IsOutdoors(c))) and (forall a ( IsABaseballPlayer(a) ->  IsPlayingBaseball(a))) and (forall a ( IsPlayingBaseball(a) ->  IsABaseballPlayer(a))) and (forall a (  IsNearOutfieldFence(a) ->   IsOutdoors(a))),
19,1,,A bald man has hand on the shoulder of another man. It follows that a man is touching another person.,"(exists b (IsBald(a) and HasHandOnShoulder(b))) -> (forall d (forall c (IsTouching(c,d)))) and (forall (a) forall (d) forall (c)  IsBald(a) ->  IsTouching(c,d)) and (forall (d) forall (c) forall (b)   HasHandOnShoulder(b) ->  IsTouching(c,d)) and (forall (d) forall (c) forall (b)  IsTouching(c,d) ->   HasHandOnShoulder(b))","(exists b (IsBald(a) and HasHandOnShoulder(b))) -> (exists d (exists c (IsTouching(c,d)))) and (forall a (forall d (forall c ( IsBald(a) ->  IsTouching(c,d))))) and (forall d (forall c (forall b (  HasHandOnShoulder(b) ->  IsTouching(c,d))))) and (forall d (forall c (forall b ( IsTouching(c,d) ->   HasHandOnShoulder(b)))))",LF
