,logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
10,intentional,0,"Ice core drilling shows that 800 years after natural warming , the atmosphere increases in carbon dioxide . The zenith of the Little Ice Age was 300 years ago and since then we have slightly warmed and cooled during a long-term warming trend . Instrumental temperature measurements over the past 150 years show no correlation between human emissions of CO2 and ­temperature . On all timescales it can be shown that there is no correlation between CO2 emissions and global warming .", There is no correlation between CO2 emissions and global warming on all timescales., Human CO2 emissions do not cause global warming.,"NoCorrelation(a, b, c)","DoNotCause(a, b)",[],"[(' Human CO2 emissions', ' CO2 emissions'), (' global warming', ' global warming')]",[],"~NoCorrelation(a, b, c)","DoNotCause(a, b)","(~NoCorrelation(a, b, c)) -> (DoNotCause(a, b))","(exists a (exists b (exists c (~NoCorrelation(a, b, c))))) -> (exists a (exists b (DoNotCause(a, b))))",0
11,intentional,0,There is no proof the current rate of change in Antarctica will continue ., There is no proof the current rate of change in Antarctica will continue.  , The rate of change in Antarctica might not continue.,IsInAntarctica(b),IsInAntarctica(c),[],"[(' Antarctica', ' Antarctica')]","[(' Current rate of change', ' Rate of change')]",IsInAntarctica(b),IsInAntarctica(c) and ~Continue(c),(exists b (IsInAntarctica(b))) -> (forall c (IsInAntarctica(c) and ~Continue(c))),(exists b (IsInAntarctica(b))) -> (exists c (IsInAntarctica(c) and ~Continue(c))),0
12,fallacy of credibility,0,"Research shows that this process is overpowering the erosion from sea-level rise , leading to net land-area gain ."," ""This process is overpowering the erosion from sea-level rise.""  "," ""There is a net land-area gain.""","IsOverpowering(a, b),  FromSeaLevelRise(b)",IsNetLandAreaGain(d),[],[],[],"IsOverpowering(a, b) and FromSeaLevelRise(b)",IsNetLandAreaGain(d),"(IsOverpowering(a, b) and FromSeaLevelRise(b)) -> (IsNetLandAreaGain(d))","(exists a (exists b (IsOverpowering(a, b) and FromSeaLevelRise(b)))) -> (exists d (IsNetLandAreaGain(d)))",0
13,false dilemma,0,"When it thaws and is released , that carbon may evaporate as methane , which is 34 times as powerful a greenhouse-gas warming blanket as carbon dioxide when judged on the timescale of a century ; when judged on the timescale of two decades , it is 86 times as powerful .", Carbon may evaporate as methane.  , Methane is a powerful greenhouse gas.,"MayEvaporateAs(b,a)","IsPowerful(a),  IsGreenhouseGas(a)","[('MayEvaporateAs(b,a)', 'IsPowerful(a)'), ('MayEvaporateAs(b,a)', '  IsGreenhouseGas(a)')]","[(' methane', ' Methane')]","[(' methane', ' greenhouse gas')]","MayEvaporateAs(b,a)",IsPowerful(a) and IsGreenhouseGas(a),"(MayEvaporateAs(b,a) & (forall a (forall b (MayEvaporateAs(b,a) -> IsPowerful(a)))) & (forall a (forall b (MayEvaporateAs(b,a) ->   IsGreenhouseGas(a))))) -> (IsPowerful(a) and IsGreenhouseGas(a))","(exists a (exists b (MayEvaporateAs(b,a))) & (forall f (forall e (MayEvaporateAs(e,f) -> IsPowerful(f)))) & (forall g (forall h (MayEvaporateAs(g,h) ->   IsGreenhouseGas(h))))) -> (exists a (IsPowerful(a) and IsGreenhouseGas(a)))",1
14,appeal to emotion,0,We are the envy of the world .," ""We are envied by the world.""  "," ""We are superior to other countries.""",IsEnviedByTheWorld(a),IsSuperiorToOtherCountries(a),"[('IsSuperiorToOtherCountries(a)', 'IsEnviedByTheWorld(a)')]","[(' We', ' We')]",[],IsEnviedByTheWorld(a),IsSuperiorToOtherCountries(a),(IsEnviedByTheWorld(a) & (forall a (IsSuperiorToOtherCountries(a) -> IsEnviedByTheWorld(a)))) -> (IsSuperiorToOtherCountries(a)),(exists a (IsEnviedByTheWorld(a)) & (forall d (IsSuperiorToOtherCountries(d) -> IsEnviedByTheWorld(d)))) -> (exists a (IsSuperiorToOtherCountries(a))),0
15,fallacy of credibility,0,"The new research suggests that the oceans hundreds of millions of years ago were much cooler than we thought . If true , that means that the global warming we are currently undergoing is unparallelled within the last 100 million years , and far worse than we had previously calculated .", The oceans hundreds of millions of years ago were much cooler than we thought., The global warming we are currently undergoing is unparalleled within the last 100 million years and far worse than previously calculated.,"WereMuchCooler(b),  WereHundredsOfMillionsOfYearsAgo(b)","IsUnparalleled(d),  IsWithinLast100MillionYears(d),  IsFarWorse(d)",[],"[(' we', ' we')]",[],WereMuchCooler(b) and WereHundredsOfMillionsOfYearsAgo(b),IsUnparalleled(d) and IsWithinLast100MillionYears(d) and IsFarWorse(d),(WereMuchCooler(b) and WereHundredsOfMillionsOfYearsAgo(b)) -> (IsUnparalleled(d) and IsWithinLast100MillionYears(d) and IsFarWorse(d)),(exists b (WereMuchCooler(b) and WereHundredsOfMillionsOfYearsAgo(b))) -> (exists d (IsUnparalleled(d) and IsWithinLast100MillionYears(d) and IsFarWorse(d))),0
16,appeal to emotion,0,So it ’ s been a surprise to climate scientists that 2017 has been so remarkably warm — because the last El Niño ended a year ago ., 2017 has been remarkably warm despite the last El Niño ending a year ago., Climate scientists are surprised by the warmth of 2017.,"IsRemarkablyWarm(a),  HasEnded(b)","IsSurprised(c),  IsWarm(d),  OccurredIn(d, a)","[('IsRemarkablyWarm(a)', 'IsSurprised(c)')]","[(' 2017', ' 2017')]","[(' El Niño', ' warmth')]",IsRemarkablyWarm(a) and HasEnded(b),"IsSurprised(c) and IsWarm(d) and OccurredIn(d, a)","(exists b (IsRemarkablyWarm(a) and HasEnded(b)) & (forall a (forall c (IsRemarkablyWarm(a) -> IsSurprised(c))))) -> (forall d (IsSurprised(c) and IsWarm(d) and OccurredIn(d, a)))","(exists a (exists b (IsRemarkablyWarm(a) and HasEnded(b))) & (forall f (forall e (IsRemarkablyWarm(e) -> IsSurprised(f))))) -> (exists d (exists a (exists c (IsSurprised(c) and IsWarm(d) and OccurredIn(d, a)))))",0
17,fallacy of extension,0,"Although the extent of the summer sea ice after 2006 dropped abruptly to levels not expected until 2050 , the predicted 67-per-cent decline in polar bear numbers simply didn ’ t happen ."," ""The extent of the summer sea ice after 2006 dropped to levels not expected until 2050."""," ""Predicted 67-per-cent decline in polar bear numbers did not happen.""","DroppedToLevelsNotExpectedUntil(a, c),  Dropped(a)","Predicted(d),  DeclineInPolarBearNumbers(d),  DidNotHappen(d)",[],[],[],"Dropped(a) and DroppedToLevelsNotExpectedUntil(a, c)",Predicted(d) and DeclineInPolarBearNumbers(d) and DidNotHappen(d),"(Dropped(a) and DroppedToLevelsNotExpectedUntil(a, c)) -> (Predicted(d) and DeclineInPolarBearNumbers(d) and DidNotHappen(d))","(exists a (exists c (Dropped(a) and DroppedToLevelsNotExpectedUntil(a, c)))) -> (exists d (Predicted(d) and DeclineInPolarBearNumbers(d) and DidNotHappen(d)))",0
18,ad populum,0,"Not only do polls suggest the public is unmoved at home and in abroad , serial exaggeration at this point is arguably backfiring , confirming the perils of climate exaggeration .", Polls suggest the public is unmoved at home and abroad.  , Climate exaggeration is counterproductive.,"Suggests(a, b),  IsUnmoved(b, c),  IsUnmoved(b, d)",IsCounterproductive(e),[],[],[],"Suggests(a, b) and IsUnmoved(b, c) and IsUnmoved(b, d)",IsCounterproductive(e),"(Suggests(a, b) and IsUnmoved(b, c) and IsUnmoved(b, d)) -> (IsCounterproductive(e))","(exists a (exists b (exists d (exists c (Suggests(a, b) and IsUnmoved(b, c) and IsUnmoved(b, d)))))) -> (exists e (IsCounterproductive(e)))",0
19,ad hominem,0,Green activists are at war with the greatest American foe since the Axis Powers—or so they say ., Green activists are at war with a great American foe.  , Green activists are at war with the greatest American foe since the Axis Powers.,"IsAtWarWith(a, b)","IsAtWarWith(a, c),  IsSince(c, d)",[],"[(' Green activists', ' Green activists')]","[(' a great American foe', ' Axis Powers')]","IsAtWarWith(a, b)","IsAtWarWith(a, c) and IsSince(c, d)","(exists b (IsAtWarWith(a, b))) -> (forall d (IsAtWarWith(a, c) and IsSince(c, d)))","(exists a (exists b (IsAtWarWith(a, b)))) -> (exists a (exists d (exists c (IsAtWarWith(a, c) and IsSince(c, d)))))",0
20,false dilemma,0,"Global warming is not even the obvious top environmental threat . Dirty water , dirty air
and insect-borne diseases are a far greater problem today for most people world-wide ."," Dirty water, dirty air, and insect-borne diseases are a greater problem than global warming.  ", Global warming is not the top environmental threat.,"IsDirty(b),  IsDirty(c),  IsInsectBorne(d),  IsGreaterProblem(b,c,d,a)","IsTopEnvironmentalThreat(e),  IsNot(a, e)","[('  IsNot(a, e)', '  IsGreaterProblem(b,c,d,a)')]","[(' global warming', ' Global warming')]","[(' Dirty water', ' environmental threat'), (' dirty air', ' environmental threat'), (' insect-borne diseases', ' environmental threat'), (' global warming', ' environmental threat')]","(IsDirty(b) and IsDirty(c) and IsInsectBorne(d)) and IsGreaterProblem(b,c,d,a)","IsNot(a, e) and ~IsTopEnvironmentalThreat(e)","(exists a (exists d (exists c (exists b ((IsDirty(b) and IsDirty(c) and IsInsectBorne(d)) and IsGreaterProblem(b,c,d,a))))) & (forall c (forall e (forall a (forall d (forall b (  IsNot(a, e) ->   IsGreaterProblem(b,c,d,a)))))))) -> (forall e (IsNot(a, e) and ~IsTopEnvironmentalThreat(e)))","(exists d (exists a (exists b (exists c ((IsDirty(b) and IsDirty(c) and IsInsectBorne(d)) and IsGreaterProblem(b,c,d,a))))) & (forall h (forall i (forall g (forall j (forall k (  IsNot(g,h) ->   IsGreaterProblem(i,j,k,g)))))))) -> (exists a (exists e (IsNot(a, e) and ~IsTopEnvironmentalThreat(e))))",1
