Unnamed: 0,label,updated_label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result,logical_fallacies
10,0,false causality,"Believing that ""runs"" occur to statistically independent phenomena such as routine wheel spirits."," ""Runs occur to statistically independent phenomena such as routine wheel spins."""," ""Runs do not occur to statistically independent phenomena.""","IsOccurringTo(b, a),  IsRoutineWheelSpin(c)","IsNotOccurringTo(b, a)",[],"[(' statistically independent phenomena', ' Statistically independent phenomena')]",[],"IsOccurringTo(b, a) and IsRoutineWheelSpin(c)","IsStatisticallyIndependent(a) and IsNotOccurringTo(b, a)","(IsOccurringTo(b, a) and IsRoutineWheelSpin(c)) -> (IsStatisticallyIndependent(a) and IsNotOccurringTo(b, a))","(exists c (exists a (exists b (IsOccurringTo(b, a) and IsRoutineWheelSpin(c))))) -> (exists a (exists b (IsStatisticallyIndependent(a) and IsNotOccurringTo(b, a))))",LF,
11,0,false causality,"I broke a mirror earlier in the day, and then I received an F on my history final. Therefore, I received the F because I broke the mirror.", I broke a mirror earlier in the day and received an F on the history final.  , Breaking a mirror causes receiving an F on the history final.,"Broke(a),  IsEarlierInTheDay(a),  ReceivedF(b,c)","Broke(a),  CausesReceivingF(b,c)",[],"[(' A mirror', ' A mirror'), (' an F', ' an F'), (' the history final.', ' the history final')]",[],"Broke(a) and IsEarlierInTheDay(a) and ReceivedF(b,c)","Broke(a) and CausesReceivingF(b,c)","(Broke(a) and IsEarlierInTheDay(a) and ReceivedF(b,c)) -> (Broke(a) and CausesReceivingF(b,c))","(exists c (exists a (exists b (Broke(a) and IsEarlierInTheDay(a) and ReceivedF(b,c))))) -> (exists c (exists a (exists b (Broke(a) and CausesReceivingF(b,c)))))",LF,
12,0,fallacy of extension,"Charlie: I think we should put more money into schools. Quality public education is so important.
Bob: So you’re saying we should cut military spending and spend it instead on more spiral notebooks and crayons? I guess you want our country to be a weak, defenseless target for terrorists.
Charlie: Creo que deberíamos invertir más dinero en las escuelas. La educación pública de calidad es muy importante.

Bob: ¿Entonces estás diciendo que deberíamos recortar el gasto militar y gastarlo en más cuadernos de espiral y crayones? Supongo que quiere que nuestro país sea un objetivo débil e indefenso para los terroristas.", Quality public education is very important.," Investing more money in public education will make the country a weak, defenseless target for terrorists.",IsVeryImportant(a),"IsInvestedIn(b, c),  IsTarget(d, e),  IsWeak(e),  IsDefenseless(e),  IsForTerrorists(e, f)",[],[],"[(' Quality public education', ' public education')]",IsVeryImportant(a),"(IsInvestedIn(b, c) and (IsTarget(d, e) and IsWeak(e) and IsDefenseless(e) and IsForTerrorists(e, f)))","(exists a (IsVeryImportant(a))) -> (forall c ((IsInvestedIn(b, c) and (IsTarget(d, e) and IsWeak(e) and IsDefenseless(e) and IsForTerrorists(e, f)))))","(exists a (IsVeryImportant(a))) -> (exists f (exists d (exists b (exists c (exists e ((IsInvestedIn(b, c) and (IsTarget(d, e) and IsWeak(e) and IsDefenseless(e) and IsForTerrorists(e, f)))))))))",,
13,0,false causality,"Cellphones weren’t invented before I was born. Now, they are everywhere! Therefore, cellphones were created because I was born.", Cellphones are everywhere., Cellphones were created because I was born.,AreEverywhere(a),WereCreated(a),[],"[(' Cellphones', ' Cellphones')]",[],AreEverywhere(a),IsBorn(b) and WereCreated(a),(AreEverywhere(a)) -> (IsBorn(b) and WereCreated(a)),(exists a (AreEverywhere(a))) -> (exists a (exists b (IsBorn(b) and WereCreated(a)))),LF,
14,0,ad hominem,Ms. Baker assigned me a lot of homework because she’s a witch!, Ms. Baker is a witch.  , Ms. Baker assigned a lot of homework.,IsAWitch(a),"AssignedHomework(a, c)",[],"[(' Ms. Baker', ' Ms. Baker')]",[],IsAWitch(a),"AssignedHomework(a, c)","(IsAWitch(a)) -> (AssignedHomework(a, c))","(exists a (IsAWitch(a))) -> (exists c (exists a (AssignedHomework(a, c))))",LF,
15,0,fallacy of credibility,"My dad went to school, so he knows everything about the education system."," ""Dad went to school.""  "," ""Dad knows everything about the education system.""","WentTo(a, b)","KnowsEverythingAbout(a, c)",[],"[(' Dad', ' Dad')]","[(' school', ' the education system')]","WentTo(a, b)","KnowsEverythingAbout(a, c)","(exists b (WentTo(a, b))) -> (forall c (KnowsEverythingAbout(a, c)))","(exists a (exists b (WentTo(a, b)))) -> (exists c (exists a (KnowsEverythingAbout(a, c))))",LF,
16,0,ad populum,Everyone is doing the Low-Carb Diet.," ""Everyone is doing the Low-Carb Diet.""  "," ""You should do the Low-Carb Diet.""","IsDoingDiet(b, a)","IsDoingDiet(c, a)",[],"[(' Low-Carb Diet', ' Low-Carb Diet')]","[(' Everyone', ' You')]","IsDoingDiet(b, a)","IsDoingDiet(c, a)","(exists b (IsDoingDiet(b, a))) -> (forall c (IsDoingDiet(c, a)))","(exists a (exists b (IsDoingDiet(b, a)))) -> (exists c (exists a (IsDoingDiet(c, a))))",Valid,
17,0,fallacy of extension,"Parent: You need to clean out your backpack.
Child: You know I have ADD! Why can’t you just accept me as I am?", The child has ADD.  , The parent should accept the child as the child is.,HasADD(a),"AcceptsAsIs(c, a)",[],"[(' The child', ' the child'), (' The child', ' the child')]",[],HasADD(a),"AcceptsAsIs(c, a)","(HasADD(a)) -> (AcceptsAsIs(c, a))","(exists a (HasADD(a))) -> (exists c (exists a (AcceptsAsIs(c, a))))",LF,
18,0,fallacy of credibility,"X has been around for years now.
Y is new.
Therefore, Y is better than X."," ""Y is new.""  "," ""Y is better than X.""",IsNew(a),"IsBetterThan(a, b)",[],"[(' Y', ' Y')]",[],IsNew(a),"IsBetterThan(a, b)","(IsNew(a)) -> (IsBetterThan(a, b))","(exists a (IsNew(a))) -> (exists a (exists b (IsBetterThan(a, b))))",LF,
19,0,false causality,"""Right when I sneezed, the power went off. I must've caused the outage."" Bragged Zohaw."," ""Zohaw sneezed and the power went off.""  "," ""Zohaw caused the power outage.""","Sneezed(a),  WentOff(b)","Caused(a, c)",[],"[(' Zohaw', ' Zohaw')]",[],Sneezed(a) and WentOff(b),"Caused(a, c)","(Sneezed(a) and WentOff(b)) -> (Caused(a, c))","(exists a (exists b (Sneezed(a) and WentOff(b)))) -> (exists c (exists a (Caused(a, c))))",LF,
20,0,equivocation,"I like my steak rare. But I don’t care for aardvark steak, even though it’s the rarest steak in the world."," ""Aardvark steak is the rarest steak in the world."""," ""Aardvark steak is not desirable.""","IsRarest(a),  IsInWorld(a)",IsNotDesirable(a),[],"[(' Aardvark steak', ' Aardvark steak'), (' Aardvark steak', ' steak')]",[],IsRarest(a) and IsInWorld(a),~IsDesirable(a),(IsRarest(a) and IsInWorld(a)) -> (~IsDesirable(a)),(exists a (IsRarest(a) and IsInWorld(a))) -> (exists a (~IsDesirable(a))),LF,
21,0,faulty generalization,"If you allow the students to redo this one test, they will always want to redo all future tests"," ""Redoing one test will lead to redoing future tests.""  "," ""Students will always want to redo all future tests.""","IsRedone(b),  WillLeadToRedoingFutureTests(b, a)","WantsToRedoFutureTests(c, a)",[],"[(' future tests.', ' future tests')]",[],"IsRedone(b) and WillLeadToRedoingFutureTests(b, a)","WantsToRedoFutureTests(c, a)","(IsRedone(b) and WillLeadToRedoingFutureTests(b, a)) -> (WantsToRedoFutureTests(c, a))","(exists a (exists b (IsRedone(b) and WillLeadToRedoingFutureTests(b, a)))) -> (exists c (exists a (WantsToRedoFutureTests(c, a))))",LF,
22,0,fallacy of relevance,"There is no need for additional taxes for education. Every year we throw more money into education, and all they do is hire more management and build more buildings. None of the money actually reaches the classroom or is really used for education.", Every year more money is used to hire more management and build more buildings rather than reaching the classroom., There is no need for additional taxes for education.,"IsUsedToHireManagement(a, b),  IsUsedToBuildBuildings(a, c),  DoesNotReachClassroom(a, d)","IsForEducation(e, f)",[],[],"[(' classroom', ' education')]","IsUsedToHireManagement(a, b) and IsUsedToBuildBuildings(a, c) and DoesNotReachClassroom(a, d)","~IsForEducation(e, f)","(exists d (IsUsedToHireManagement(a, b) and IsUsedToBuildBuildings(a, c) and DoesNotReachClassroom(a, d))) -> (forall f (~IsForEducation(e, f)))","(exists c (exists a (exists d (exists b (IsUsedToHireManagement(a, b) and IsUsedToBuildBuildings(a, c) and DoesNotReachClassroom(a, d)))))) -> (exists f (exists e (~IsForEducation(e, f))))",LF,
23,0,false causality,Believing that the cause of the Reformation was simply Martin Luther posting his theses," ""The cause of the Reformation was Martin Luther posting his theses.""  "," ""The Reformation occurred.""","PostedTheses(b, c),  IsCauseOfReformation(a)",Occurred(d),"[('  IsCauseOfReformation(a)', 'Occurred(d)')]",[],"[(' Martin Luther', ' The Reformation'), (' his theses', ' The Reformation')]","IsCauseOfReformation(a) and PostedTheses(b, c)",Occurred(d),"(exists c (exists b (IsCauseOfReformation(a) and PostedTheses(b, c))) & (forall a (forall d (  IsCauseOfReformation(a) -> Occurred(d))))) -> (forall d (Occurred(d)))","(exists c (exists a (exists b (IsCauseOfReformation(a) and PostedTheses(b, c)))) & (forall f (forall e (  IsCauseOfReformation(e) -> Occurred(f))))) -> (exists d (Occurred(d)))",Valid,
24,0,false causality,The party was going great! Then Gerald showed up and little by little people started collecting their coats and heading home. Gerald ruined the party., Gerald ruined the party.  , Gerald causes people to leave parties.,"RuinedParty(a, b)","CausesToLeave(a, c, d)","[('RuinedParty(a, b)', 'CausesToLeave(a, c, d)'), ('CausesToLeave(a, c, d)', 'RuinedParty(a, b)')]","[(' Gerald', ' Gerald')]","[(' Gerald', ' people')]","RuinedParty(a, b)","CausesToLeave(a, c, d)","(exists a (RuinedParty(a, b)) & (forall c (forall a (forall d (forall b (RuinedParty(a, b) -> CausesToLeave(a, c, d)))))) & (forall c (forall a (forall d (forall b (CausesToLeave(a, c, d) -> RuinedParty(a, b))))))) -> (forall c (CausesToLeave(a, c, d)))","(exists a (exists b (RuinedParty(a, b))) & (forall f (forall e (forall h (forall g (RuinedParty(e,f) -> CausesToLeave(e,g,h)))))) & (forall l (forall i (forall j (forall k (CausesToLeave(i,j,k) -> RuinedParty(i,l))))))) -> (exists c (exists a (exists d (CausesToLeave(a, c, d)))))",Valid,
25,0,fallacy of logic,"I can’t stop eating these chocolates.  I really love chocolate, or I seriously lack willpower.  I know I really love chocolate; therefore, I cannot lack willpower."," ""I really love chocolate.""  "," ""I cannot lack willpower.""",LovesChocolate(a),LacksWillpower(a),[],"[(' I', ' I')]",[],LovesChocolate(a),~LacksWillpower(a),(LovesChocolate(a)) -> (~LacksWillpower(a)),(exists a (LovesChocolate(a))) -> (exists a (~LacksWillpower(a))),LF,
26,0,false causality,"Shortly after MySpace became popular, U.S. soldiers found Saddam Hussein."," ""U.S. soldiers found Saddam Hussein shortly after MySpace became popular.""  "," ""MySpace's popularity is related to the finding of Saddam Hussein.""","Found(b, a),  BecamePopular(c)","RelatedTo(d, e)",[],[],[],"BecamePopular(c) and Found(b, a)","RelatedTo(d, e)","(BecamePopular(c) and Found(b, a)) -> (RelatedTo(d, e))","(exists c (exists a (exists b (BecamePopular(c) and Found(b, a))))) -> (exists e (exists d (RelatedTo(d, e))))",LF,
27,0,false causality,Jimmy isn't at school today. He must be on a family trip.," ""Jimmy isn't at school today.""  "," ""Jimmy is on a family trip.""",IsAtSchool(a),IsOnFamilyTrip(a),[],"[(' Jimmy', ' Jimmy')]",[],~IsAtSchool(a),IsOnFamilyTrip(a),(~IsAtSchool(a)) -> (IsOnFamilyTrip(a)),(exists a (~IsAtSchool(a))) -> (exists a (IsOnFamilyTrip(a))),LF,
28,0,circular reasoning,"I am athletic because I run, and I run because I'm athletic."," ""I am athletic and I run.""  "," ""Running means being athletic.""","IsAthletic(a),  Runs(a)",IsAthletic(b),[],[],[],IsAthletic(a) and Runs(a),Running(b) and IsAthletic(b),(IsAthletic(a) and Runs(a)) -> (Running(b) and IsAthletic(b)),(exists a (IsAthletic(a) and Runs(a))) -> (exists b (Running(b) and IsAthletic(b))),LF,
29,0,false causality,You know Jane Fonda’s exercise videos must be worth the money. Look at the great shape she’s in., Jane Fonda is in great shape.  , Jane Fonda's exercise videos are worth the money.,IsInGreatShape(a),"IsWorth(a, c)",[],"[("" Jane Fonda's exercise videos"", ' Jane Fonda')]",[],IsInGreatShape(a),"IsWorth(a, c)","(IsInGreatShape(a)) -> (IsWorth(a, c))","(exists a (IsInGreatShape(a))) -> (exists c (exists a (IsWorth(a, c))))",LF,
30,0,fallacy of credibility,Albert Einstein was extremely impressed with this theory., Albert Einstein was extremely impressed with this theory.  , This theory is impressive.,"IsImpressedWith(b, a)",IsImpressive(a),[],"[(' this theory', ' This theory')]",[],"IsImpressedWith(b, a)",IsImpressive(a),"(IsImpressedWith(b, a)) -> (IsImpressive(a))","(exists a (exists b (IsImpressedWith(b, a)))) -> (exists a (IsImpressive(a)))",LF,
31,0,false causality,“I sneezed exactly at the same time the power went off. My sneeze must’ve done something to make the power go off. “," ""I sneezed at the same time the power went off.""  "," ""My sneeze made the power go off.""","Sneezed(b),  PowerWentOff(a)",MadePowerGoOff(c),[],"[(' the power', ' the power')]",[],Sneezed(b) and PowerWentOff(a),MadePowerGoOff(c),(Sneezed(b) and PowerWentOff(a)) -> (MadePowerGoOff(c)),(exists a (exists b (Sneezed(b) and PowerWentOff(a)))) -> (exists c (MadePowerGoOff(c))),LF,
32,0,faulty generalization,"It’s getting late, and we still have to decide on the school budget. What do you say we just leave it as is and we can call it a night?", It is getting late.  , Leave the school budget as it is.,IsGettingLate(a),IsLeftAsIs(b),[],[],[],IsGettingLate(a),IsLeftAsIs(b),(IsGettingLate(a)) -> (IsLeftAsIs(b)),(exists a (IsGettingLate(a))) -> (exists b (IsLeftAsIs(b))),LF,
33,0,ad hominem,"Speaker 1 (Democrat): “Donald Trump is a known adulterer. It reflects badly on his character, and suggests he might not be trustworthy.”
Speaker 2 (Republican): “What about Bill Clinton? You didn’t seem to care when he cheated.”"," ""Donald Trump is a known adulterer.""  "," ""Donald Trump might not be trustworthy.""",IsKnownAdulterer(a),MightNotBeTrustworthy(a),"[('IsKnownAdulterer(a)', 'MightNotBeTrustworthy(a)')]","[(' Donald Trump', ' Donald Trump')]","[(' known adulterer', ' Donald Trump')]",IsKnownAdulterer(a),MightNotBeTrustworthy(a),(IsKnownAdulterer(a) & (forall a (IsKnownAdulterer(a) -> MightNotBeTrustworthy(a)))) -> (MightNotBeTrustworthy(a)),(exists a (IsKnownAdulterer(a)) & (forall c (IsKnownAdulterer(c) -> MightNotBeTrustworthy(c)))) -> (exists a (MightNotBeTrustworthy(a))),Valid,
34,0,ad hominem,"I hope I presented my argument clearly.  Now, my opponent will attempt to refute my argument by his own fallacious, incoherent, illogical version of history."," The opponent's version of history is fallacious, incoherent, and illogical.  ", The opponent's attempt to refute the argument is invalid.,"IsFallacious(a),  IsIncoherent(a),  IsIllogical(a)","IsAttemptToRefute(b, c),  IsInvalid(b)","[('IsFallacious(a)', '  IsInvalid(b)'), ('IsAttemptToRefute(b, c)', '  IsIncoherent(a)')]",[],[],IsFallacious(a) and IsIncoherent(a) and IsIllogical(a),"IsAttemptToRefute(b, c) and IsInvalid(b)","(IsFallacious(a) and IsIncoherent(a) and IsIllogical(a) & (forall a (forall b (IsFallacious(a) ->   IsInvalid(b)))) & (forall c (forall a (forall b (IsAttemptToRefute(b, c) ->   IsIncoherent(a)))))) -> (IsAttemptToRefute(b, c) and IsInvalid(b))","(exists a (IsFallacious(a) and IsIncoherent(a) and IsIllogical(a)) & (forall e (forall d (IsFallacious(d) ->   IsInvalid(e)))) & (forall f (forall h (forall g (IsAttemptToRefute(f,g) ->   IsIncoherent(h)))))) -> (exists c (exists b (IsAttemptToRefute(b, c) and IsInvalid(b))))",LF,
35,0,false causality,"Every time we sacrifice virgins, it rains. Therefore, sacrificing virgins causes it to rain."," ""Every time we sacrifice virgins, it rains."""," ""Sacrificing virgins causes rain.""","IsSacrificed(a),  CausesRain(a)","IsSacrificed(a),  Causes(b)",[],"[(' Virgins', ' Virgins')]",[],IsSacrificed(a) and CausesRain(a),IsSacrificed(a) and Causes(b),(IsSacrificed(a) and CausesRain(a)) -> (IsSacrificed(a) and Causes(b)),(exists a (IsSacrificed(a) and CausesRain(a))) -> (exists a (exists b (IsSacrificed(a) and Causes(b)))),LF,
36,0,ad hominem,"Salesman: This car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports.
Will: I doubt it—you obviously just want to sell me that car.
"," ""This car gets better than average gas mileage and is one of the most reliable cars according to Consumer Reports.""  "," ""The salesman wants to sell Will that car.""","GetsBetterGasMileage(a),  IsReliable(a),  AccordingToConsumerReports(a)","WantsToSell(d, f, e)","[('GetsBetterGasMileage(a)', 'WantsToSell(d, f, e)')]",[],[],GetsBetterGasMileage(a) and IsReliable(a) and AccordingToConsumerReports(a),"WantsToSell(d, f, e)","(GetsBetterGasMileage(a) and IsReliable(a) and AccordingToConsumerReports(a) & (forall f (forall a (forall d (forall e (GetsBetterGasMileage(a) -> WantsToSell(d, f, e))))))) -> (WantsToSell(d, f, e))","(exists a (GetsBetterGasMileage(a) and IsReliable(a) and AccordingToConsumerReports(a)) & (forall h (forall i (forall j (forall g (GetsBetterGasMileage(g) -> WantsToSell(h,i,j))))))) -> (exists f (exists e (exists d (WantsToSell(d, f, e)))))",Valid,
37,0,fallacy of relevance,Labor unions in America are just as bad as Russia under Stalin!, Labor unions in America are bad.  , Labor unions in America are like Russia under Stalin.,"AreInAmerica(a),  AreBad(a)","AreInAmerica(a),  AreLikeRussiaUnderStalin(a)","[('  AreLikeRussiaUnderStalin(a)', '  AreBad(a)')]","[(' Labor unions', ' Labor unions'), (' America', ' America')]",[],AreInAmerica(a) and AreBad(a),AreInAmerica(a) and AreLikeRussiaUnderStalin(a),(AreInAmerica(a) and AreBad(a) & (forall a (  AreLikeRussiaUnderStalin(a) ->   AreBad(a)))) -> (AreInAmerica(a) and AreLikeRussiaUnderStalin(a)),(exists a (AreInAmerica(a) and AreBad(a)) & (forall e (  AreLikeRussiaUnderStalin(e) ->   AreBad(e)))) -> (exists a (AreInAmerica(a) and AreLikeRussiaUnderStalin(a))),LF,
38,0,ad populum,"""Everyone was driving over the speed limit, so I shouldn't have gotten a ticket for it!"" is an example of which logical fallacy?"," ""Everyone was driving over the speed limit."""," ""I should not have gotten a ticket for driving over the speed limit.""",DrivingOverSpeedLimit(b),"DrivingOverSpeedLimit(c),  HasTicket(c)",[],"[(' speed limit', ' speed limit')]","[(' Everyone', ' I')]",DrivingOverSpeedLimit(b),DrivingOverSpeedLimit(c) and HasTicket(c),(exists b (DrivingOverSpeedLimit(b))) -> (forall c (DrivingOverSpeedLimit(c) and HasTicket(c))),(exists b (DrivingOverSpeedLimit(b))) -> (exists c (DrivingOverSpeedLimit(c) and HasTicket(c))),LF,
39,0,ad hominem,Why would you trust Paris Hilton to sell health food? She drinks and parties and has multiple partners.," ""Paris Hilton drinks, parties, and has multiple partners."""," ""Paris Hilton cannot be trusted to sell health food.""","Drinks(a),  Parties(a),  HasMultiplePartners(a)","CannotBeTrusted(a),  Sell(a, b)","[('CannotBeTrusted(a)', 'Drinks(a)')]","[(' Paris Hilton', ' Paris Hilton')]",[],Drinks(a) and Parties(a) and HasMultiplePartners(a),"CannotBeTrusted(a) and ~Sell(a, b)","(Drinks(a) and Parties(a) and HasMultiplePartners(a) & (forall a (CannotBeTrusted(a) -> Drinks(a)))) -> (CannotBeTrusted(a) and ~Sell(a, b))","(exists a (Drinks(a) and Parties(a) and HasMultiplePartners(a)) & (forall c (CannotBeTrusted(c) -> Drinks(c)))) -> (exists a (exists b (CannotBeTrusted(a) and ~Sell(a, b))))",LF,
40,0,false causality,"“Yesterday, I walked under a ladder with an open umbrella indoors while spilling salt in front of a black cat. And I forgot to knock on wood with my lucky dice. That must be why I’m having such a bad day today. It’s bad luck.”"," ""I walked under a ladder with an open umbrella indoors, spilled salt in front of a black cat, and forgot to knock on wood with lucky dice."""," ""Bad luck causes a bad day.""","WalkedUnder(a, b),  HasOpenUmbrella(c),  IsIndoors(d),  SpilledSalt(a, e),  InFrontOfBlackCat(e, f),  ForgotToKnockOn(g),  HasLuckyDice(h)","Causes(i, j)",[],[],[],"WalkedUnder(a, b) and HasOpenUmbrella(c) and IsIndoors(d) and SpilledSalt(a, e) and InFrontOfBlackCat(e, f) and ForgotToKnockOn(g) and HasLuckyDice(h)","Causes(i, j)","(WalkedUnder(a, b) and HasOpenUmbrella(c) and IsIndoors(d) and SpilledSalt(a, e) and InFrontOfBlackCat(e, f) and ForgotToKnockOn(g) and HasLuckyDice(h)) -> (Causes(i, j))","(exists a (exists f (exists d (exists b (exists c (exists h (exists g (exists e (WalkedUnder(a, b) and HasOpenUmbrella(c) and IsIndoors(d) and SpilledSalt(a, e) and InFrontOfBlackCat(e, f) and ForgotToKnockOn(g) and HasLuckyDice(h)))))))))) -> (exists i (exists j (Causes(i, j))))",LF,
