,logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2,result
43,false dilemma,0,"To the extent that the cost of weather disasters has risen over time , that is well known to be the result of modern society building more infrastructure in areas that are prone to damage from weather—which is almost everywhere .", The cost of weather disasters has risen over time.  , Modern society builds more infrastructure in areas prone to damage from weather.,"HasRisen(a, b)","BuildsInfrastructure(c, d),  IsProneToDamage(e, f)",[],[],[],"HasRisen(a, b)","BuildsInfrastructure(c, d) and IsProneToDamage(e, f)","(HasRisen(a, b)) -> (BuildsInfrastructure(c, d) and IsProneToDamage(e, f))","(exists a (exists b (HasRisen(a, b)))) -> (exists d (exists e (exists f (exists c (BuildsInfrastructure(c, d) and IsProneToDamage(e, f))))))",LF
44,intentional,0,Construction and maintenance of wind and solar facilities ­release far more carbon dioxide than they are meant to save over their working lives and they need to be sup­ported 24/7 by coal-fired generators ., Construction and maintenance of wind and solar facilities release far more carbon dioxide than they are meant to save over their working lives., Wind and solar facilities need to be supported 24/7 by coal-fired generators.,"ReleasesCarbonDioxide(a),  SavesOverWorkingLives(a)","NeedsSupportBy(d, e)",[],[],"[(' Construction and maintenance of wind and solar facilities', ' Wind and solar facilities')]",ReleasesCarbonDioxide(a) and ~SavesOverWorkingLives(a),"NeedsSupportBy(d, e)","(exists a (ReleasesCarbonDioxide(a) and ~SavesOverWorkingLives(a))) -> (forall d (NeedsSupportBy(d, e)))","(exists a (ReleasesCarbonDioxide(a) and ~SavesOverWorkingLives(a))) -> (exists d (exists e (NeedsSupportBy(d, e))))",LF
45,intentional,0,"Others have argued that the records were caused by El Nino , a complex natural phenomenon that takes place every few years , and has nothing to do with greenhouse gas emissions by humans ."," The records were caused by El Nino, a complex natural phenomenon.  ", Greenhouse gas emissions by humans have nothing to do with the records.,"CausedBy(a, b),  IsComplexNaturalPhenomenon(b)","IsEmittedByHumans(d),  HasNothingToDoWith(d, f)","[('CausedBy(a, b)', '  HasNothingToDoWith(d, f)')]",[],"[(' The records', ' records')]","CausedBy(a, b) and IsComplexNaturalPhenomenon(b)","IsEmittedByHumans(d) and HasNothingToDoWith(d, f)","(exists a (CausedBy(a, b) and IsComplexNaturalPhenomenon(b)) & (forall d (forall a (forall f (forall b (CausedBy(a, b) ->   HasNothingToDoWith(d, f))))))) -> (forall f (IsEmittedByHumans(d) and HasNothingToDoWith(d, f)))","(exists a (exists b (CausedBy(a, b) and IsComplexNaturalPhenomenon(b))) & (forall j (forall i (forall h (forall g (CausedBy(g,h) ->   HasNothingToDoWith(i,j))))))) -> (exists d (exists f (IsEmittedByHumans(d) and HasNothingToDoWith(d, f))))",LF
46,fallacy of logic,0,"Salmon are crucial to their coastal ecosystem like perhaps few other species on the planet . A significant portion of the nitrogen in West Coast forests has been traced back to salmon , which can travel hundreds of miles upstream to lay their eggs . The largest trees on Earth simply wouldn ’ t exist without salmon .", Salmon are crucial to their coastal ecosystem and contribute a significant portion of the nitrogen in West Coast forests., The largest trees on Earth would not exist without salmon.,"IsCrucialTo(a, b),  ContributesSignificantPortion(a, c),  IsIn(d)","WouldNotExistWithout(e, a)","[('IsCrucialTo(a, b)', 'WouldNotExistWithout(e, a)'), ('WouldNotExistWithout(e, a)', 'IsCrucialTo(a, b)')]","[(' Salmon', ' salmon')]",[],"IsCrucialTo(a, b) and ContributesSignificantPortion(a, c) and IsIn(d)","WouldNotExistWithout(e, a)","(IsCrucialTo(a, b) and ContributesSignificantPortion(a, c) and IsIn(d) & (forall e (forall a (forall b (IsCrucialTo(a, b) -> WouldNotExistWithout(e, a))))) & (forall a (forall e (forall b (WouldNotExistWithout(e, a) -> IsCrucialTo(a, b)))))) -> (WouldNotExistWithout(e, a))","(exists d (exists a (exists b (exists c (IsCrucialTo(a, b) and ContributesSignificantPortion(a, c) and IsIn(d))))) & (forall j (forall i (forall h (forall g (IsCrucialTo(g,h) -> WouldNotExistWithout(i,j)))))) & (forall m (forall k (forall l (forall n (WouldNotExistWithout(k,l) -> IsCrucialTo(m,n))))))) -> (exists a (exists e (WouldNotExistWithout(e, a))))",Valid
47,intentional,0,"Furthermore , whereas in 2008 most of the ice was extremely thin , this year most has been at least two metres thick .", Most of the ice this year has been at least two metres thick.  , The ice is getting thicker.,IsAtLeastTwoMetresThick(a),IsGettingThicker(c),"[('IsAtLeastTwoMetresThick(a)', 'IsGettingThicker(c)')]",[],[],IsAtLeastTwoMetresThick(a),IsGettingThicker(c),(IsAtLeastTwoMetresThick(a) & (forall a (forall c (IsAtLeastTwoMetresThick(a) -> IsGettingThicker(c))))) -> (IsGettingThicker(c)),(exists a (IsAtLeastTwoMetresThick(a)) & (forall d (forall e (IsAtLeastTwoMetresThick(d) -> IsGettingThicker(e))))) -> (exists c (IsGettingThicker(c))),Valid
48,fallacy of extension,0,Adding more CO2 molecules to the atmosphere is like painting over a red wall with white paint — the first coat does most of the work of concealing the red ., The first coat of white paint does most of the work of concealing the red wall.  , Adding more CO2 molecules to the atmosphere has diminishing effects.,"IsFirstCoat(a),  IsWhitePaint(a),  Conceals(a, c),  DoesWork(a, b)","IsAddedTo(d, e),  HasDiminishingEffects(d)",[],[],[],"IsFirstCoat(a) and IsWhitePaint(a) and DoesWork(a, b) and Conceals(a, c)","IsAddedTo(d, e) and HasDiminishingEffects(d)","(IsFirstCoat(a) and IsWhitePaint(a) and DoesWork(a, b) and Conceals(a, c)) -> (IsAddedTo(d, e) and HasDiminishingEffects(d))","(exists a (exists b (exists c (IsFirstCoat(a) and IsWhitePaint(a) and DoesWork(a, b) and Conceals(a, c))))) -> (exists d (exists e (IsAddedTo(d, e) and HasDiminishingEffects(d))))",LF
49,fallacy of extension,0,"To limit global warming to 1.5 degree C is “ possible within the laws of chemistry and physics , ” said Jim Skea , co-chair of IPCC Working Group III . “ But doing so would require unprecedented changes . ”", Limiting global warming to 1.5 degree C is possible within the laws of chemistry and physics., Limiting global warming to 1.5 degree C requires unprecedented changes.,"IsLimited(a, 1.5),  IsPossibleWithin(a, b),  IsPossibleWithin(a, c)","IsLimited(a, d),  Requires(a, e)","[('IsLimited(a, 1.5)', '  Requires(a, e)'), ('  IsPossibleWithin(a, b)', '  Requires(a, e)'), ('  IsPossibleWithin(a, c)', '  Requires(a, e)')]","[(' Global warming', ' Global warming')]",[],"IsLimited(a, 1.5) and IsPossibleWithin(a, b) and IsPossibleWithin(a, c)","IsLimited(a, d) and Requires(a, e)","(IsLimited(a, 1.5) and IsPossibleWithin(a, b) and IsPossibleWithin(a, c) & (forall e (forall a (IsLimited(a, 1.5) ->   Requires(a, e)))) & (forall e (forall a (forall b (  IsPossibleWithin(a, b) ->   Requires(a, e))))) & (forall e (forall a (forall c (  IsPossibleWithin(a, c) ->   Requires(a, e)))))) -> (IsLimited(a, d) and Requires(a, e))","(exists a (exists b (exists c (IsLimited(a, 1.5) and IsPossibleWithin(a, b) and IsPossibleWithin(a, c)))) & (forall h (forall f (forall g (IsLimited(f,g) ->   Requires(f,h))))) & (forall j (forall i (forall k (  IsPossibleWithin(i,j) ->   Requires(i,k))))) & (forall m (forall l (forall n (  IsPossibleWithin(l,m) ->   Requires(l,n)))))) -> (exists e (exists d (exists a (IsLimited(a, d) and Requires(a, e)))))",
50,fallacy of relevance,0,The role of the sun and clouds was not considered important by modellers . They are the major drivers for the climate on our planet ., The sun and clouds are major drivers for the climate on our planet.  , Modellers did not consider major climate drivers.,"AreDriversFor(a, c),  AreDriversFor(b, c),  On(c, d)","DidNotConsider(e, f)",[],[],"[(' The sun', ' major climate drivers'), (' clouds', ' major climate drivers')]","AreDriversFor(a, c) and AreDriversFor(b, c) and On(c, d)","DidNotConsider(e, f)","(exists b (exists a (AreDriversFor(a, c) and AreDriversFor(b, c) and On(c, d)))) -> (forall f (DidNotConsider(e, f)))","(exists d (exists a (exists b (exists c (AreDriversFor(a, c) and AreDriversFor(b, c) and On(c, d)))))) -> (exists e (exists f (DidNotConsider(e, f))))",LF
51,appeal to emotion,0,In this scenario they may still have the opportunity to visit a living Great Barrier Reef ., They may still have the opportunity to visit a living Great Barrier Reef.  , The Great Barrier Reef may not remain living in the future.,"IsLiving(c),  MayVisit(a, c)","IsLiving(d),  MayNotRemainLiving(d)",[],[],"[(' living Great Barrier Reef', ' The Great Barrier Reef')]","IsLiving(c) and MayVisit(a, c)",MayNotRemainLiving(d),"(exists c (IsLiving(c) and MayVisit(a, c))) -> (forall d (MayNotRemainLiving(d)))","(exists a (exists c (IsLiving(c) and MayVisit(a, c)))) -> (exists d (MayNotRemainLiving(d)))",LF
52,appeal to emotion,0,"The melting Greenland ice sheet is already a major contributor to rising sea level and if it was eventually lost entirely , the oceans would rise by six metres around the world , flooding many of the world ’ s largest cities .", The melting Greenland ice sheet is already a major contributor to rising sea level., Oceans would rise by six metres flooding many of the world's largest cities if the Greenland ice sheet was lost entirely.,"IsMelting(a),  IsMajorContributor(a, c)","WouldRiseBy(d, e),  Floods(f),  IsLostEntirely(g)","[('  IsLostEntirely(g)', '  IsMajorContributor(a, c)')]",[],"[(' The melting Greenland ice sheet', ' Oceans'), (' The melting Greenland ice sheet', ' the Greenland ice sheet')]","IsMelting(a) and IsMajorContributor(a, c)","IsLostEntirely(g) and (WouldRiseBy(d, e) and Floods(f))","(exists a (IsMelting(a) and IsMajorContributor(a, c)) & (forall a (forall g (forall c (  IsLostEntirely(g) ->   IsMajorContributor(a, c)))))) -> (forall g (forall d (IsLostEntirely(g) and (WouldRiseBy(d, e) and Floods(f)))))","(exists a (exists c (IsMelting(a) and IsMajorContributor(a, c))) & (forall j (forall i (forall h (  IsLostEntirely(h) ->   IsMajorContributor(i,j)))))) -> (exists d (exists e (exists f (exists g (IsLostEntirely(g) and (WouldRiseBy(d, e) and Floods(f)))))))",LF
53,intentional,0,In recent years there has been more polar ice in the world than at any time since satellite records began in 1979 ., There is more polar ice in the world now than at any time since satellite records began in 1979.  , The world is experiencing an increase in polar ice.,"ExistsMorePolarIceNow(a),  IsInWorld(a),  BeganIn1979(c)",IsExperiencingIncreaseInPolarIce(b),"[('ExistsMorePolarIceNow(a)', 'IsExperiencingIncreaseInPolarIce(b)'), ('IsExperiencingIncreaseInPolarIce(b)', 'ExistsMorePolarIceNow(a)')]","[(' Polar ice', ' polar ice'), (' world', ' The world')]","[(' Polar ice', ' The world')]",ExistsMorePolarIceNow(a) and IsInWorld(a) and BeganIn1979(c),IsExperiencingIncreaseInPolarIce(b),(exists a (ExistsMorePolarIceNow(a) and IsInWorld(a) and BeganIn1979(c)) & (forall a (forall b (ExistsMorePolarIceNow(a) -> IsExperiencingIncreaseInPolarIce(b)))) & (forall a (forall b (IsExperiencingIncreaseInPolarIce(b) -> ExistsMorePolarIceNow(a))))) -> (forall b (IsExperiencingIncreaseInPolarIce(b))),(exists a (exists c (ExistsMorePolarIceNow(a) and IsInWorld(a) and BeganIn1979(c))) & (forall h (forall g (ExistsMorePolarIceNow(g) -> IsExperiencingIncreaseInPolarIce(h)))) & (forall j (forall i (IsExperiencingIncreaseInPolarIce(i) -> ExistsMorePolarIceNow(j))))) -> (exists b (IsExperiencingIncreaseInPolarIce(b))),Valid
54,fallacy of logic,0,"And on and on it goes — there are 80 graphs in all , each showing in its different way why the scare about global warming has been horribly overdone because the evidence just doesn ’ t support its being unusual or a problem .", There are 80 graphs showing that the scare about global warming is horribly overdone.  , Global warming is not unusual or a problem.,"IsAbout(c, a),  IsOverdone(c),  IsShownBy(b)","IsNotUnusual(a),  IsNotAProblem(a)",[],"[(' global warming', ' Global warming')]",[],"IsShownBy(b) and IsAbout(c, a) and IsOverdone(c)",IsNotUnusual(a) or IsNotAProblem(a),"(IsShownBy(b) and IsAbout(c, a) and IsOverdone(c)) -> (IsNotUnusual(a) or IsNotAProblem(a))","(exists a (exists b (exists c (IsShownBy(b) and IsAbout(c, a) and IsOverdone(c))))) -> (exists a (IsNotUnusual(a) or IsNotAProblem(a)))",LF
55,faulty generalization,0,"As we have already seen , during this time , the Northern Hemisphere experienced ‘ The Little Ice Age ’ where crops failed and plague wiped out tens of millions of people showing a clear correlation between solar activity and temperature on Earth . Likewise , there was also high solar activity during the Medieval Warm Period .", The Northern Hemisphere experienced 'The Little Ice Age' with crop failures and plague during low solar activity., Solar activity affects temperature on Earth.,"Experienced(b, c),  Experienced(b, d),  Experienced(b, e),  IsDuring(d, a),  IsDuring(e, a),  IsLow(a)","Affects(a, f),  IsOn(f, g)","[('Experienced(b, c)', 'Affects(a, f)'), ('  IsLow(a)', 'Affects(a, f)')]","[(' solar activity', ' Solar activity')]","[(' The Northern Hemisphere', ' Earth'), (' The Little Ice Age', ' Earth')]","Experienced(b, c) and Experienced(b, d) and Experienced(b, e) and IsDuring(d, a) and IsDuring(e, a) and IsLow(a)","Affects(a, f) and IsOn(f, g)","(exists c (exists b (Experienced(b, c) and Experienced(b, d) and Experienced(b, e) and IsDuring(d, a) and IsDuring(e, a) and IsLow(a))) & (forall a (forall f (forall b (forall c (Experienced(b, c) -> Affects(a, f)))))) & (forall a (forall f (  IsLow(a) -> Affects(a, f))))) -> (forall g (Affects(a, f) and IsOn(f, g)))","(exists d (exists b (exists c (exists a (exists e (Experienced(b, c) and Experienced(b, d) and Experienced(b, e) and IsDuring(d, a) and IsDuring(e, a) and IsLow(a)))))) & (forall l (forall j (forall i (forall k (Experienced(i,j) -> Affects(k,l)))))) & (forall m (forall n (  IsLow(m) -> Affects(m,n))))) -> (exists a (exists f (exists g (Affects(a, f) and IsOn(f, g)))))",LF
56,intentional,0,"And last month , Brown told a conference at the Vatican that the world needed “ brain washing ” on climate change ."," Brown told a conference at the Vatican that the world needed ""brain washing"" on climate change.  ", The world needs brain washing on climate change.,"IsTold(c, d),  IsAt(d, e),  NeedsBrainWashing(a, b)","NeedsBrainWashing(a, b)",[],"[(' the world', ' The world'), (' climate change', ' climate change.')]","[(' the Vatican', ' The world')]","IsTold(c, d) and IsAt(d, e) and NeedsBrainWashing(a, b)","NeedsBrainWashing(a, b)","(exists e (IsTold(c, d) and IsAt(d, e) and NeedsBrainWashing(a, b))) -> (forall a (NeedsBrainWashing(a, b)))","(exists d (exists b (exists c (exists a (exists e (IsTold(c, d) and IsAt(d, e) and NeedsBrainWashing(a, b))))))) -> (exists a (exists b (NeedsBrainWashing(a, b))))",Valid
57,appeal to emotion,0,"The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica . ( A Rolling Stone feature earlier this year dubbed Thwaites “ The Doomsday Glacier. ” ) Together , they act as a plug holding back enough ice to pour 11 feet of sea-level rise into the world ’ s oceans — an amount that would submerge every coastal city on the planet .", The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica.   , Every coastal city on the planet would be submerged.,"IsInPineIslandBay(a),  IsInAntarctica(a),  AreLargest(a),  AreFastestMelting(a)","IsOnPlanet(c),  WouldBeSubmerged(c)",[],[],[],IsInPineIslandBay(a) and IsInAntarctica(a) and AreLargest(a) and AreFastestMelting(a),IsOnPlanet(c) and WouldBeSubmerged(c),(IsInPineIslandBay(a) and IsInAntarctica(a) and AreLargest(a) and AreFastestMelting(a)) -> (IsOnPlanet(c) and WouldBeSubmerged(c)),(exists a (IsInPineIslandBay(a) and IsInAntarctica(a) and AreLargest(a) and AreFastestMelting(a))) -> (exists c (IsOnPlanet(c) and WouldBeSubmerged(c))),LF
58,faulty generalization,0,"Objective data show there has been a gradual increase in global precipitation and soil moisture as our planet warms . Warmer temperatures evaporate more water from the oceans , which in turn stimulates more frequent precipitation over continental land masses . The result of this enhanced precipitation is an improvement in soil moisture at almost all sites in the Global Soil Moisture Data Bank . If declining precipitation and declining soil moisture are military threat multipliers , than global warming is creating a safer , more peaceful world .", There has been a gradual increase in global precipitation and soil moisture as the planet warms.," Global warming is creating a safer, more peaceful world.","Increase(a),  Increase(b),  IsWarming(c)","IsCreatingSaferWorld(d),  IsCreatingPeacefulWorld(d)",[],[],"[(' Global precipitation', ' world')]",Increase(a) and Increase(b) and IsWarming(c),IsCreatingSaferWorld(d) and IsCreatingPeacefulWorld(d),(Increase(a) and Increase(b) and IsWarming(c)) -> (IsCreatingSaferWorld(d) and IsCreatingPeacefulWorld(d)),(exists a (exists b (exists c (Increase(a) and Increase(b) and IsWarming(c))))) -> (exists d (IsCreatingSaferWorld(d) and IsCreatingPeacefulWorld(d))),LF
59,false causality,0,"Also , the modest recent warming is producing U.S. and global crop production records virtually every year , creating billions of dollars in new economic and human welfare benefits each and every year ."," ""The modest recent warming is producing U.S. and global crop production records virtually every year."""," ""The modest recent warming is creating billions of dollars in new economic and human welfare benefits each year.""","IsModestRecentWarming(a),  Produces(a, b),  IsProducedEveryYear(b)","IsModestRecentWarming(a),  Creates(a, c),  IsInNewEconomicAndHumanWelfareBenefits(d),  IsCreatedEachYear(d)","[('IsModestRecentWarming(a)', '  Creates(a, c)'), ('  Produces(a, b)', '  Creates(a, c)')]","[(' The modest recent warming', ' The modest recent warming')]",[],"IsModestRecentWarming(a) and Produces(a, b) and IsProducedEveryYear(b)","IsModestRecentWarming(a) and (Creates(a, c) and IsInNewEconomicAndHumanWelfareBenefits(d) and IsCreatedEachYear(d))","(IsModestRecentWarming(a) and Produces(a, b) and IsProducedEveryYear(b) & (forall a (forall c (IsModestRecentWarming(a) ->   Creates(a, c)))) & (forall a (forall b (forall c (  Produces(a, b) ->   Creates(a, c)))))) -> (IsModestRecentWarming(a) and (Creates(a, c) and IsInNewEconomicAndHumanWelfareBenefits(d) and IsCreatedEachYear(d)))","(exists a (exists b (IsModestRecentWarming(a) and Produces(a, b) and IsProducedEveryYear(b))) & (forall f (forall g (IsModestRecentWarming(f) ->   Creates(f,g)))) & (forall j (forall i (forall h (  Produces(h,i) ->   Creates(h,j)))))) -> (exists d (exists a (exists c (IsModestRecentWarming(a) and (Creates(a, c) and IsInNewEconomicAndHumanWelfareBenefits(d) and IsCreatedEachYear(d))))))",LF
60,fallacy of credibility,0,Cato Institute scientists Patrick Michaels and Chip Knappenberger have noted the climate models have been over-hyping warming for decades . Scientist John Christy of the University of Alabama-Huntsville has testified before Congress on the matter . Christy ’ s research has shown climate models show 2.5 times more warming in the bulk atmosphere than has been observed . ..., Climate models have been over-hyping warming for decades., Climate models are inaccurate in predicting warming levels.,"HaveBeenOverHyping(a, b)","AreInaccurate(a),  Predicts(a, d)","[('HaveBeenOverHyping(a, b)', 'AreInaccurate(a)'), ('AreInaccurate(a)', 'HaveBeenOverHyping(a, b)')]","[(' Climate models', ' Climate models')]","[(' warming', ' warming levels')]","HaveBeenOverHyping(a, b)","AreInaccurate(a) and Predicts(a, d)","(exists b (HaveBeenOverHyping(a, b)) & (forall a (forall b (HaveBeenOverHyping(a, b) -> AreInaccurate(a)))) & (forall a (forall b (AreInaccurate(a) -> HaveBeenOverHyping(a, b))))) -> (forall d (AreInaccurate(a) and Predicts(a, d)))","(exists a (exists b (HaveBeenOverHyping(a, b))) & (forall e (forall f (HaveBeenOverHyping(e,f) -> AreInaccurate(e)))) & (forall h (forall g (AreInaccurate(g) -> HaveBeenOverHyping(g,h))))) -> (exists d (exists a (AreInaccurate(a) and Predicts(a, d))))",LF
61,fallacy of credibility,0,"Howard Browman , a marine scientist for 35 years , has published a review in the ICES Journal of Marine Science of all the papers published on the subject . His verdict could hardly be more damning . The methodology used by the studies was often flawed ; contrary studies suggesting that ocean acidification wasn ’ t a threat had sometimes had difficulty finding a publisher ."," ""Howard Browman, a marine scientist for 35 years, has published a damning review of all the papers on ocean acidification in the ICES Journal of Marine Science."""," ""Ocean acidification studies are often flawed and biased.""","IsMarineScientist(a),  HasPublished(a, c),  IsOnOceanAcidification(c),  IsInICESJournal(c)","AreFlawed(f),  AreBiased(f)","[('  IsOnOceanAcidification(c)', 'AreFlawed(f)'), ('  IsOnOceanAcidification(c)', '  AreBiased(f)')]",[],"[(' marine scientist', ' Ocean acidification studies'), (' ocean acidification', ' Ocean acidification studies')]","IsMarineScientist(a) and HasPublished(a, c) and IsOnOceanAcidification(c) and IsInICESJournal(c)",AreFlawed(f) and AreBiased(f),"(IsMarineScientist(a) and HasPublished(a, c) and IsOnOceanAcidification(c) and IsInICESJournal(c) & (forall f (forall c (  IsOnOceanAcidification(c) -> AreFlawed(f)))) & (forall f (forall c (  IsOnOceanAcidification(c) ->   AreBiased(f))))) -> (AreFlawed(f) and AreBiased(f))","(exists a (exists c (IsMarineScientist(a) and HasPublished(a, c) and IsOnOceanAcidification(c) and IsInICESJournal(c))) & (forall h (forall g (  IsOnOceanAcidification(g) -> AreFlawed(h)))) & (forall j (forall i (  IsOnOceanAcidification(i) ->   AreBiased(j))))) -> (exists f (AreFlawed(f) and AreBiased(f)))",Valid
62,intentional,0,"In June last year , a severe heatwave claimed over 1,000 lives in Karachi , Pakistan . Severe drought caused food shortages for millions of people in Ethiopia , with a lack of rainfall resulting in “ intense and widespread ” forest fires in Indonesia that belched out a vast quantity of greenhouse gas ."," ""A severe heatwave claimed over 1,000 lives in Karachi, Pakistan. Severe drought caused food shortages for millions of people in Ethiopia. A lack of rainfall resulted in intense and widespread forest fires in Indonesia that belched out a vast quantity of greenhouse gas."""," ""Climate change has severe and deadly impacts.""","ClaimedLives(a, b),  In(c, d),  CausedFoodShortages(e, f),  ForMillionsOfPeople(f, g),  In(h, h),  ResultedInForestFires(i, j),  In(j, k),  BelchedOutGas(j, l)","HasSevereImpacts(m),  HasDeadlyImpacts(m)","[('ClaimedLives(a, b)', 'HasSevereImpacts(m)'), ('HasSevereImpacts(m)', 'ClaimedLives(a, b)'), ('  HasDeadlyImpacts(m)', 'ClaimedLives(a, b)'), ('  CausedFoodShortages(e, f)', '  HasDeadlyImpacts(m)'), ('  ForMillionsOfPeople(f, g)', 'HasSevereImpacts(m)')]",[],"[(' Severe heatwave', ' Climate change'), (' severe drought', ' Climate change'), (' lack of rainfall', ' Climate change'), (' intense and widespread forest fires', ' Climate change'), (' vast quantity of greenhouse gas', ' Climate change')]","ClaimedLives(a, b) and In(c, d) and CausedFoodShortages(e, f) and ForMillionsOfPeople(f, g) and In(h, h) and ResultedInForestFires(i, j) and In(j, k) and BelchedOutGas(j, l)",HasSevereImpacts(m) and HasDeadlyImpacts(m),"(exists l (exists j (exists i (exists e (exists a (ClaimedLives(a, b) and In(c, d) and CausedFoodShortages(e, f) and ForMillionsOfPeople(f, g) and In(h, h) and ResultedInForestFires(i, j) and In(j, k) and BelchedOutGas(j, l)))))) & (forall m (forall a (forall b (ClaimedLives(a, b) -> HasSevereImpacts(m))))) & (forall m (forall a (forall b (HasSevereImpacts(m) -> ClaimedLives(a, b))))) & (forall m (forall a (forall b (  HasDeadlyImpacts(m) -> ClaimedLives(a, b))))) & (forall m (forall e (forall f (  CausedFoodShortages(e, f) ->   HasDeadlyImpacts(m))))) & (forall m (forall f (forall g (  ForMillionsOfPeople(f, g) -> HasSevereImpacts(m)))))) -> (forall m (HasSevereImpacts(m) and HasDeadlyImpacts(m)))","(exists k (exists h (exists g (exists i (exists f (exists j (exists d (exists l (exists b (exists c (exists e (exists a (ClaimedLives(a, b) and In(c, d) and CausedFoodShortages(e, f) and ForMillionsOfPeople(f, g) and In(h, h) and ResultedInForestFires(i, j) and In(j, k) and BelchedOutGas(j, l))))))))))))) & (forall o (forall p (forall n (ClaimedLives(n,o) -> HasSevereImpacts(p))))) & (forall q (forall r (forall s (HasSevereImpacts(q) -> ClaimedLives(r,s))))) & (forall t (forall v (forall u (  HasDeadlyImpacts(t) -> ClaimedLives(u,v))))) & (forall x (forall y (forall w (  CausedFoodShortages(w,x) ->   HasDeadlyImpacts(y))))) & (forall z (  ForMillionsOfPeople(z,{) -> HasSevereImpacts(|)))) -> (exists m (HasSevereImpacts(m) and HasDeadlyImpacts(m)))",
63,intentional,0,The rate of sea-level rise has not accelerated ., The rate of sea-level rise has not accelerated.  , Sea-level rise is not a concern.,HasNotAccelerated(a),IsNotAConcern(a),[],"[(' sea-level rise', ' Sea-level rise')]",[],HasNotAccelerated(a),IsNotAConcern(a),(HasNotAccelerated(a)) -> (IsNotAConcern(a)),(exists a (HasNotAccelerated(a))) -> (exists a (IsNotAConcern(a))),LF
64,false dilemma,0,Just because we are alive today does not mean we change major planetary systems that operated for billions of years ., We are alive today.  , We do not change major planetary systems that operated for billions of years.,IsAlive(a),OperateForBillionsOfYears(c),[],[],[],IsAlive(a),OperateForBillionsOfYears(c) and ~Change(c),(IsAlive(a)) -> (OperateForBillionsOfYears(c) and ~Change(c)),(exists a (IsAlive(a))) -> (exists c (OperateForBillionsOfYears(c) and ~Change(c))),LF
65,appeal to emotion,0,," ""Politicians who promise to cut taxes are lying about their intentions."""," ""Politicians cannot be trusted.""","PromiseToCutTaxes(a),  AreLyingAbout(c)",CannotBeTrusted(a),[],"[(' Politicians', ' Politicians')]",[],PromiseToCutTaxes(a) and AreLyingAbout(c),Politician(a) and ~CanBeTrusted(a),(PromiseToCutTaxes(a) and AreLyingAbout(c)) -> (Politician(a) and ~CanBeTrusted(a)),(exists a (exists c (PromiseToCutTaxes(a) and AreLyingAbout(c)))) -> (exists a (Politician(a) and ~CanBeTrusted(a))),LF
66,fallacy of credibility,0,"“ The predictions of what ’ s going to happen over the next 20 , 30 , 40 years — it ’ s real , ” said Mr. Tuckman , the founder of a company offering creative services to the retail industry ."," ""The predictions of what is going to happen over the next 20, 30, 40 years are real."""," ""The predictions about the future are real.""",IsReal(a),IsReal(a),[],"[(' The predictions', ' The predictions')]","[(' The predictions', ' the future'), (' what is going to happen', ' the future'), (' the next 20', ' the future')]",IsReal(a),IsReal(a),(IsReal(a)) -> (IsReal(a)),(exists a (IsReal(a))) -> (exists a (IsReal(a))),Valid
67,fallacy of relevance,0,"In the past decade China has increased its carbon dioxide emissions by 53 per cent , 12 times Australia ’ s total carbon dioxide output of 1.3 per cent of the global total .", China has increased its carbon dioxide emissions by 53 percent in the past decade., China's carbon dioxide emissions are significantly higher than Australia's total carbon dioxide output.,"IncreasedEmissions(a, b),  PastDecade(c)","IsHigherThan(d, e)",[],[],"[(' carbon dioxide emissions', "" China's carbon dioxide emissions""), (' carbon dioxide emissions', "" Australia's total carbon dioxide output"")]","IncreasedEmissions(a, b) and PastDecade(c)","IsHigherThan(d, e)","(exists b (IncreasedEmissions(a, b) and PastDecade(c))) -> (forall e (forall d (IsHigherThan(d, e))))","(exists a (exists b (exists c (IncreasedEmissions(a, b) and PastDecade(c))))) -> (exists d (exists e (IsHigherThan(d, e))))",LF
